Unadjusted,Seasonally adjusted
280705 ,346276 
247888 ,351709 
319222 ,354518 
361509 ,348053 
360832 ,352885 
362680 ,348681 
361206 ,352084 
375748 ,387042 
388044 ,377148 
445560 ,383473 
460454 ,361594 
363396 ,363781 
288242 ,377295 
258171 ,365781 
323525 ,363543 
402190 ,381281 
397769 ,373804 
394108 ,389423 
389054 ,395445 
397155 ,394143 
426390 ,410892 
447753 ,391162 
518485 ,399697 
410839 ,411214 
333312 ,416811 
303309 ,428770 
384771 ,429741 
432873 ,439468 
494469 ,444780 
461545 ,448484 
447587 ,462872 
459528 ,448777 
443938 ,432528 
514393 ,428459 
550605 ,431869 
416020 ,429789 
356637 ,428316 
330254 ,467567 
409035 ,460859 
437385 ,444364 
521264 ,463359 
457146 ,449509 
450961 ,452258 
447908 ,450041 
438959 ,452781 
535749 ,428602 
607802 ,468782 
470989 ,497650 
426662 ,511170 
368121 ,505476 
400847 ,498942 
531550 ,486460 
523361 ,483621 
487214 ,509729 
517467 ,501835 
473949 ,505231 
526582 ,513784 
643943 ,518325 
649784 ,525521 
521859 ,511244 
401482 ,502792 
331191 ,478235 
404195 ,472686 
504214 ,479116 
523679 ,497258 
517627 ,506528 
510892 ,506652 
476421 ,514131 
527958 ,510476 
648612 ,517454 
637313 ,506809 
577554 ,569002 
388998 ,509247 
361939 ,528294 
496092 ,560278 
571098 ,531869 
508544 ,491114 
526636 ,515158 
504600 ,510171 
504703 ,529677 
541365 ,538694 
651466 ,539413 
795000 ,588755 
545919 ,553692 
414320 ,557053 
375494 ,553643 
496801 ,559154 
623599 ,580074 
617280 ,575862 
581967 ,587346 
550076 ,581136 
568544 ,573654 
591139 ,584917 
701500 ,588162 
865953 ,627458 
572766 ,590980 
451962 ,588906 
408925 ,578180 
516599 ,592474 
611173 ,585117 
630291 ,551738 
564002 ,568023 
566477 ,584863 
582362 ,588162 
539507 ,563857 
769368 ,597545 
797441 ,582327 
535227 ,592145 
479718 ,601011 
407186 ,602122 
493899 ,608615 
674903 ,589382 
700246 ,626824 
579290 ,617613 
631753 ,632378 
618507 ,637906 
615216 ,652427 
820838 ,636310 
892805 ,658476 
600844 ,652140 
508591 ,653771 
443984 ,657647 
526164 ,640949 
727415 ,638147 
738246 ,662314 
633691 ,669460 
674725 ,665013 
615549 ,658983 
679459 ,676059 
857142 ,671336 
919322 ,703674 
627816 ,654752 
498982 ,653892 
457982 ,674284 
572005 ,671674 
761927 ,677605 
696241 ,645816 
671904 ,657485 
671001 ,669355 
617477 ,672969 
672702 ,661723 
839271 ,660286 
859391 ,655647 
639067 ,657216 
488937 ,672065 
471535 ,679709 
606325 ,692365 
813505 ,705750 
745721 ,676287 
695222 ,683655 
639556 ,674120 
673065 ,684941 
678235 ,687532 
842121 ,706365 
885511 ,631051 
708618 ,754511 
531598 ,721683 
501925 ,746392 
673108 ,766688 
844163 ,783331 
916739 ,791564 
829159 ,809167 
747252 ,803543 
791022 ,793659 
777115 ,799921 
1002154 ,810587 
1114686 ,821900 
738149 ,818635 
644320 ,836916 
560878 ,837362 
694958 ,818672 
900418 ,816625 
1051615 ,890350 
871551 ,857338 
833661 ,867747 
853311 ,874835 
809785 ,875304 
1137710 ,882286 
1097582 ,810141 
692788 ,781001 
702523 ,896110 
582302 ,871973 
744466 ,891552 
997200 ,877924 
1037544 ,884087 
873264 ,890448 
862690 ,869278 
