Unadjusted,Seasonally adjusted
899753 ,1139232 
867151 ,1135003 
975563 ,1165987 
1036310 ,1112825 
1163263 ,1144223 
1162259 ,1136728 
1430899 ,1151101 
1222332 ,1154636 
1154784 ,1190571 
1182120 ,1175355 
1082357 ,1173876 
1619010 ,1116260 
831055 ,1129505 
880916 ,1182063 
1047212 ,1196611 
1074036 ,1158180 
1154329 ,1196438 
1258070 ,1203131 
1477366 ,1216122 
1292614 ,1215455 
1201151 ,1200289 
1157967 ,1213476 
1140953 ,1217953 
1849857 ,1236302 
858726 ,1220185 
927760 ,1241146 
1116182 ,1243554 
1136847 ,1243188 
1223823 ,1253994 
1351703 ,1238346 
1462983 ,1261059 
1392196 ,1269370 
1310733 ,1270398 
1179425 ,1291233 
1246716 ,1291689 
1935654 ,1318584 
936080 ,1309165 
989373 ,1314338 
1224026 ,1311749 
1189503 ,1361732 
1350780 ,1344897 
1524274 ,1353640 
1490885 ,1343732 
1568307 ,1362259 
1371479 ,1379974 
1267750 ,1375133 
1388024 ,1384518 
1936693 ,1396035 
1039460 ,1409461 
1120481 ,1389090 
1238143 ,1383117 
1224213 ,1418115 
1531245 ,1405350 
1487157 ,1441583 
1638997 ,1426711 
1673550 ,1434645 
1343485 ,1421689 
1429173 ,1440304 
1434841 ,1454616 
1903994 ,1440060 
1159457 ,1453939 
1110341 ,1450473 
1234606 ,1484430 
1314536 ,1428659 
1583740 ,1490953 
1558368 ,1498685 
1770634 ,1469404 
1629990 ,1476085 
1432064 ,1481275 
1489209 ,1462656 
1364672 ,1451310 
1972088 ,1471837 
1182091 ,1509644 
1178434 ,1528651 
1288298 ,1498722 
1408994 ,1523383 
1526343 ,1502862 
1564005 ,1492428 
1900637 ,1536757 
1591760 ,1517482 
1496588 ,1517835 
1540845 ,1540827 
1451674 ,1551166 
2125430 ,1535342 
1147526 ,1539500 
1187548 ,1545575 
1319910 ,1535828 
1477450 ,1542982 
1492309 ,1534576 
1643254 ,1543594 
1885300 ,1564614 
1630728 ,1543494 
1607117 ,1583147 
1514213 ,1576492 
1482773 ,1559995 
2311852 ,1630186 
1106116 ,1548395 
1239021 ,1562477 
1478627 ,1598862 
1407519 ,1591230 
1633772 ,1615877 
1817373 ,1619473 
1770311 ,1597828 
1813779 ,1598560 
1597239 ,1595556 
1501847 ,1599766 
1637386 ,1627310 
2172812 ,1620467 
1221383 ,1645661 
1252626 ,1628496 
1528694 ,1625369 
1380141 ,1602779 
1783793 ,1686552 
1737008 ,1594119 
1796789 ,1603626 
1956928 ,1660959 
1585427 ,1639177 
1596557 ,1664524 
1690799 ,1647655 
2100878 ,1632106 
1291046 ,1677755 
1283400 ,1668967 
1437534 ,1648819 
1550368 ,1716066 
1801758 ,1662900 
1804366 ,1718503 
1950994 ,1709918 
1921169 ,1658592 
1635315 ,1703265 
1690158 ,1703200 
1687035 ,1709900 
2277624 ,1752880 
1340847 ,1713128 
1331137 ,1730057 
1512743 ,1774309 
1587892 ,1767515 
1860015 ,1731497 
1860777 ,1772940 
2138494 ,1798447 
2047894 ,1837048 
1781464 ,1838520 
1801540 ,1773869 
1704921 ,1808668 
2402108 ,1823832 
1379885 ,1813086 
1452444 ,1867691 
1666184 ,1875457 
1687200 ,1850891 
1895025 ,1903437 
2011993 ,1861772 
2177616 ,1828019 
2005938 ,1848676 
1844261 ,1845557 
1794353 ,1875611 
1815184 ,1900968 
2604902 ,1863823 
1326493 ,1874563 
1447389 ,1893741 
1669542 ,1868496 
1683501 ,1867855 
1949176 ,1904589 
2139493 ,1912470 
2229883 ,1934054 
2129973 ,1892123 
1936343 ,1909292 
1805296 ,1928741 
1862535 ,1910897 
2657107 ,1939909 
1419582 ,1953274 
1470347 ,1927480 
1832808 ,1939983 
1650879 ,1968035 
2079141 ,1973359 
2239279 ,1965894 
2208438 ,1981969 
2383645 ,2022430 
1904698 ,1969982 
1912616 ,2007247 
1985264 ,1984930 
2591696 ,1983810 
1516294 ,2027780 
1525975 ,2006563 
1795789 ,2013789 
1814227 ,2051610 
2167991 ,1998464 
2216263 ,2026231 
2283377 ,2022312 
