Unadjusted,Seasonally adjusted
1242784 ,1633856 
1158379 ,1661123 
1392965 ,1661206 
1572851 ,1650478 
1701509 ,1680703 
1613407 ,1646383 
1616768 ,1697106 
1668658 ,1726994 
1707477 ,1705304 
1764559 ,1697112 
1827698 ,1696620 
2920649 ,1730819 
1260790 ,1718831 
1189324 ,1743743 
1450763 ,1730544 
1714417 ,1734429 
1721895 ,1738270 
1743358 ,1778662 
1649850 ,1751769 
1721079 ,1753031 
1778874 ,1753257 
1798777 ,1778438 
1939482 ,1770227 
3079812 ,1797222 
1291647 ,1795971 
1236928 ,1815505 
1598465 ,1861857 
1790436 ,1887091 
1879514 ,1872710 
1860695 ,1876305 
1723663 ,1880466 
1860669 ,1869384 
2041973 ,1962093 
1926291 ,1942302 
2073837 ,1888115 
3337117 ,1969436 
1451417 ,1975509 
1312380 ,1918615 
1730263 ,1967716 
1820374 ,1979179 
2043026 ,1999488 
2007550 ,1968602 
1805247 ,1999914 
2073282 ,2040587 
2023559 ,1985410 
2007441 ,1986038 
2263605 ,2017081 
3305167 ,2005170 
1515555 ,2025000 
1437794 ,1991639 
1649493 ,1970543 
1934111 ,2019235 
2100820 ,1982365 
1997062 ,2078162 
1876429 ,2018366 
2042860 ,1992098 
2025374 ,2025615 
2056291 ,1976819 
2208216 ,1969156 
3123204 ,1918211 
1495629 ,1933412 
1331766 ,1923576 
1606701 ,1943109 
1805196 ,1909454 
2002685 ,1923610 
1892710 ,1930342 
1818466 ,1936499 
1947557 ,1947063 
1958255 ,1934277 
2078681 ,1969755 
2055159 ,1892277 
3207351 ,1956779 
1525994 ,2013876 
1415698 ,2030453 
1825917 ,2193537 
1922788 ,2028923 
2093196 ,2049840 
2005849 ,2032158 
1957721 ,2052421 
2018851 ,2069600 
2130333 ,2093623 
2130707 ,2060117 
2306557 ,2103270 
3513752 ,2119546 
1530391 ,2083413 
1472588 ,2116066 
1758314 ,2078766 
2024444 ,2140997 
2138625 ,2133441 
2119359 ,2155866 
2031885 ,2172701 
2108857 ,2161525 
2196917 ,2159598 
2199104 ,2177341 
2459017 ,2202410 
3746307 ,2203682 
1585810 ,2204642 
1589991 ,2205667 
1968135 ,2245917 
1975494 ,2188212 
2293414 ,2216440 
2246822 ,2229850 
1978106 ,2189273 
2187271 ,2165748 
2234062 ,2195842 
2248762 ,2229963 
2491506 ,2155729 
3637361 ,2209452 
1656403 ,2253099 
1539810 ,2221909 
1948462 ,2263176 
2055735 ,2250580 
2379102 ,2277979 
2173036 ,2213138 
2061276 ,2263845 
2371097 ,2291425 
2257090 ,2298355 
2343316 ,2280481 
2724563 ,2290315 
3724286 ,2329875 
1660146 ,2265104 
1591237 ,2304826 
1879793 ,2230105 
2126426 ,2322762 
2465343 ,2321938 
2298979 ,2422892 
2198898 ,2364528 
2460082 ,2398702 
2356471 ,2385891 
2462818 ,2368998 
2909409 ,2437836 
3826983 ,2413003 
1812080 ,2449467 
1676271 ,2436714 
2079975 ,2528088 
2323533 ,2528393 
2635218 ,2516447 
2388627 ,2504262 
2414583 ,2547815 
2580012 ,2556855 
2551069 ,2568069 
2768478 ,2595360 
3067159 ,2603302 
4181429 ,2643659 
1896280 ,2627125 
1875455 ,2674417 
2240769 ,2667042 
2450202 ,2623164 
2684165 ,2661239 
2527312 ,2606433 
2527283 ,2621626 
2635802 ,2617434 
2690908 ,2668823 
2792370 ,2699795 
3233152 ,2654990 
4233064 ,2664675 
1866474 ,2693296 
1898160 ,2760908 
2255093 ,2659732 
2535623 ,2773053 
2775341 ,2725437 
2770028 ,2797630 
2655809 ,2772465 
2905339 ,2785642 
2794065 ,2744116 
2828377 ,2766892 
3512203 ,2835132 
4272937 ,2755145 
1952912 ,2800086 
1948908 ,2836001 
2490262 ,2877571 
2503699 ,2832151 
3051640 ,2919389 
2927999 ,2910395 
2814020 ,2952737 
3115128 ,2936301 
2923454 ,2918118 
2968290 ,2897042 
3648828 ,2903492 
4324535 ,2886392 
2072868 ,2904920 
1969855 ,2877510 
2580874 ,2975268 
2618427 ,2946336 
2939548 ,2852569 
3026996 ,2995973 
2810562 ,2937028 
