Unadjusted,Seasonally adjusted
960576 ,1247699 
877965 ,1281922 
1095589 ,1281310 
1226270 ,1275215 
1308329 ,1295031 
1237837 ,1258870 
1251684 ,1311510 
1294562 ,1347158 
1343409 ,1326722 
1398389 ,1319281 
1448012 ,1326848 
2171263 ,1342320 
997001 ,1342284 
909507 ,1354740 
1147968 ,1341680 
1336248 ,1340871 
1327839 ,1343485 
1358679 ,1382439 
1280633 ,1357881 
1325287 ,1357263 
1395086 ,1358880 
1426095 ,1380529 
1519151 ,1370610 
2304074 ,1396904 
1015372 ,1393303 
939837 ,1402423 
1256238 ,1437007 
1400311 ,1458295 
1455809 ,1451670 
1445147 ,1451376 
1339499 ,1454379 
1423405 ,1438855 
1604930 ,1522710 
1521071 ,1503415 
1615573 ,1453859 
2471946 ,1521846 
1137202 ,1527794 
997138 ,1484027 
1368862 ,1528204 
1424038 ,1530970 
1584793 ,1555826 
1567229 ,1529545 
1403117 ,1549884 
1589590 ,1579897 
1598103 ,1547205 
1594174 ,1546121 
1776778 ,1569260 
2465868 ,1558158 
1192461 ,1576233 
1094357 ,1546210 
1316255 ,1540230 
1526277 ,1579057 
1629410 ,1540128 
1560930 ,1616097 
1464197 ,1570790 
1567292 ,1539520 
1595566 ,1573692 
1615442 ,1530032 
1733026 ,1528973 
2335346 ,1489595 
1175263 ,1503719 
1019366 ,1495019 
1273367 ,1511683 
1415131 ,1483276 
1554329 ,1495493 
1481981 ,1497703 
1415498 ,1504205 
1503198 ,1511633 
1533548 ,1496540 
1637131 ,1530851 
1629758 ,1490316 
2397836 ,1515968 
1192225 ,1559593 
1089265 ,1580654 
1442400 ,1703621 
1497643 ,1565888 
1621789 ,1589874 
1570417 ,1576655 
1532105 ,1599051 
1570324 ,1615300 
1678111 ,1636944 
1680719 ,1604287 
1818588 ,1640788 
2628937 ,1649870 
1194907 ,1614043 
1127162 ,1641596 
1389613 ,1615270 
1588876 ,1661567 
1654166 ,1651024 
1653481 ,1670720 
1575395 ,1679459 
1623031 ,1667392 
1710559 ,1663654 
1717858 ,1676099 
1922695 ,1703611 
2794564 ,1707873 
1239394 ,1707573 
1212853 ,1711852 
1546877 ,1737705 
1548298 ,1699666 
1769947 ,1710734 
1762454 ,1732456 
1531443 ,1687141 
1690339 ,1678884 
1750854 ,1700815 
1761682 ,1722126 
1941028 ,1662574 
2704488 ,1708132 
1304192 ,1759402 
1184178 ,1735897 
1553500 ,1772987 
1609746 ,1754704 
1857578 ,1787190 
1705426 ,1723110 
1626944 ,1781294 
1856995 ,1797682 
1781606 ,1797159 
1860767 ,1785702 
2148094 ,1784639 
2806867 ,1816127 
1294995 ,1758506 
1217786 ,1797422 
1486902 ,1742590 
1676229 ,1819445 
1918536 ,1810902 
1819821 ,1907139 
1733468 ,1854718 
1927296 ,1883880 
1871784 ,1872895 
1956629 ,1858456 
2305292 ,1905801 
2883418 ,1880402 
1428819 ,1919908 
1279874 ,1898423 
1629491 ,1953479 
1810710 ,1969101 
2048521 ,1966105 
1872456 ,1953078 
1884147 ,1984722 
1996913 ,1982647 
2008088 ,1999658 
2190170 ,2024018 
2438437 ,2042233 
3169226 ,2063480 
1482422 ,2042267 
1418813 ,2063516 
1772879 ,2080357 
1894031 ,2037538 
2087015 ,2078107 
1973585 ,2024376 
1962316 ,2025911 
2022670 ,2010574 
2092616 ,2051455 
2181437 ,2075140 
2526807 ,2047590 
3174850 ,2052611 
1439340 ,2056037 
1442390 ,2135102 
1753463 ,2048289 
1920770 ,2105802 
2093725 ,2074048 
2122298 ,2138865 
2051995 ,2131221 
2245844 ,2145648 
2179701 ,2111240 
2218988 ,2135480 
2731598 ,2186704 
3184793 ,2116469 
1517094 ,2155177 
1484822 ,2203554 
1946476 ,2221048 
1939554 ,2207751 
2339796 ,2259364 
2267575 ,2252396 
2191462 ,2287208 
2439025 ,2293844 
2323053 ,2277382 
2335108 ,2248424 
2824401 ,2239387 
3293506 ,2256337 
1648785 ,2289355 
1496313 ,2231038 
2020084 ,2303479 
2024688 ,2288424 
2250383 ,2215532 
2372986 ,2342797 
2228703 ,2311470 
