Unadjusted,Seasonally adjusted
808842 ,893589 
719300 ,899562 
822713 ,913696 
760285 ,903646 
795417 ,938072 
809904 ,918068 
855533 ,924779 
909767 ,941803 
956882 ,970945 
921232 ,975901 
1039635 ,993620 
1872248 ,998077 
865736 ,989700 
790719 ,1003689 
914263 ,1006399 
866108 ,1021134 
866757 ,1014463 
911584 ,1032466 
929311 ,1015697 
1010340 ,1025596 
1042671 ,1028574 
979153 ,1054255 
1102813 ,1048769 
2025429 ,1064143 
959913 ,1088744 
873979 ,1107499 
1004419 ,1094804 
899882 ,1092569 
957310 ,1105318 
1000174 ,1101950 
1013885 ,1123568 
1105427 ,1106175 
1153184 ,1131610 
1061714 ,1138807 
1187506 ,1129346 
2157689 ,1154692 
1033348 ,1156779 
926646 ,1178526 
1093899 ,1184907 
998998 ,1222434 
1046930 ,1202631 
1095459 ,1201871 
1097219 ,1206665 
1256755 ,1236987 
1199112 ,1214091 
1142545 ,1213338 
1333391 ,1233949 
2272765 ,1244889 
1135448 ,1263912 
1040836 ,1264341 
1130436 ,1276483 
1087763 ,1301778 
1160906 ,1307364 
1149184 ,1309745 
1230985 ,1326279 
1351066 ,1332234 
1317905 ,1310839 
1213882 ,1269334 
1360647 ,1290311 
2352961 ,1279400 
1145851 ,1255438 
966058 ,1242965 
1077629 ,1215109 
1005200 ,1204323 
1059184 ,1219564 
1105403 ,1224492 
1155263 ,1233889 
1210362 ,1219992 
1222126 ,1216120 
1140733 ,1201208 
1284477 ,1212287 
2357573 ,1284473 
1101206 ,1233903 
944092 ,1228940 
1106199 ,1233580 
1060684 ,1251489 
1064068 ,1250647 
1194256 ,1324233 
1211784 ,1296052 
1294178 ,1305153 
1306151 ,1309455 
1243005 ,1329496 
1407615 ,1275338 
2428579 ,1323533 
1153184 ,1317316 
1010712 ,1319262 
1209727 ,1336809 
1136149 ,1324777 
1163123 ,1354668 
1176593 ,1302749 
1206640 ,1310424 
1307430 ,1295342 
1331672 ,1302165 
1277407 ,1374842 
1472708 ,1299489 
2412576 ,1320077 
1086167 ,1240534 
962570 ,1214266 
1117089 ,1207941 
982679 ,1172630 
1022865 ,1166694 
1083107 ,1170475 
1049049 ,1155907 
1186224 ,1161541 
1161284 ,1168122 
1082781 ,1136711 
1374994 ,1170677 
2018064 ,1161375 
1025682 ,1164756 
872855 ,1136558 
1035137 ,1131759 
999135 ,1154030 
1018205 ,1151922 
1027534 ,1144572 
1044086 ,1137906 
1145971 ,1118583 
1104715 ,1113916 
1090113 ,1143824 
1384461 ,1155905 
1943109 ,1137274 
987702 ,1128404 
866719 ,1128299 
1033917 ,1145068 
1007251 ,1155513 
1008379 ,1135791 
1002017 ,1117360 
1038392 ,1131329 
1168554 ,1160991 
1184054 ,1166235 
1146707 ,1195935 
1389052 ,1181584 
1979338 ,1165573 
998966 ,1165287 
904611 ,1179319 
1049417 ,1157470 
917074 ,1052688 
936060 ,1076768 
1050557 ,1132894 
1041954 ,1117305 
1123681 ,1124926 
1159412 ,1123020 
1085695 ,1119931 
1397146 ,1165556 
1905128 ,1154538 
952873 ,1136517 
923145 ,1164141 
1079090 ,1170202 
1027156 ,1145814 
1001223 ,1157053 
1078416 ,1164767 
1080280 ,1168460 
1185664 ,1155547 
1229521 ,1175055 
1075201 ,1138152 
1416599 ,1156627 
1806313 ,1123147 
999921 ,1209604 
940365 ,1245205 
1200419 ,1290711 
1098812 ,1278133 
1147673 ,1306592 
1193682 ,1282762 
1150919 ,1268704 
1314037 ,1280490 
1330495 ,1280464 
1220445 ,1261079 
1847126 ,1515718 
2180394 ,1404827 
1270702 ,1495172 
943454 ,1262332 
1122434 ,1228983 
1127511 ,1273086 
1121102 ,1256680 
1179069 ,1261026 
1192863 ,1283943 
1343053 ,1280912 
1283883 ,1268288 
1334960 ,1315900 
1794378 ,1438664 
1913898 ,1262319 
1087122 ,1248437 
896640 ,1206896 
1011777 ,1164194 
1031193 ,1169793 
1037968 ,1172396 
1044690 ,1177219 
1108264 ,1185570 
