Unadjusted,Seasonally adjusted
6608592 ,6840155 
5933927 ,6815245 
6330881 ,6887719 
6680245 ,6781836 
7036409 ,6818651 
6939964 ,6869102 
7704711 ,6832490 
6927060 ,6971428 
6934824 ,7058797 
7135522 ,7032268 
6713505 ,7186855 
8209803 ,7060894 
6569570 ,7243140 
6127543 ,7157091 
6937744 ,7155029 
7000678 ,7069848 
7191073 ,7207837 
7396856 ,7191921 
7948283 ,7245136 
7290510 ,7248009 
7311665 ,7253675 
7076693 ,7231665 
6899929 ,7247314 
8816420 ,7316295 
6365784 ,7268132 
6322816 ,7347284 
7175637 ,7342335 
7195955 ,7345891 
7478652 ,7399869 
7773333 ,7349209 
7925030 ,7480301 
7796058 ,7484215 
7707091 ,7480363 
7181822 ,7561734 
7302851 ,7517791 
8995055 ,7642958 
6711413 ,7551990 
6591192 ,7630216 
7680057 ,7567604 
7264543 ,7779010 
8109319 ,7784337 
8409794 ,7799301 
7974968 ,7774902 
8291696 ,7796488 
7797489 ,7809714 
7545513 ,7869504 
7862527 ,7910655 
8990742 ,7955532 
7310713 ,7966087 
7245167 ,7972968 
7693320 ,7976319 
7577279 ,8025141 
8771147 ,8037031 
8102702 ,8144055 
8668684 ,8171285 
8772758 ,8220107 
7907536 ,8235344 
8484383 ,8434577 
8216333 ,8377832 
9182909 ,8372186 
8201650 ,8465487 
7302906 ,8441939 
7841649 ,8501099 
8305243 ,8507132 
9039926 ,8492649 
8603271 ,8514324 
9156531 ,8462077 
8663403 ,8406519 
8324005 ,8510678 
8770532 ,8455349 
7964940 ,8448170 
9491704 ,8460337 
8108579 ,8552874 
7422793 ,8577314 
8084441 ,8592361 
8569351 ,8698346 
8911228 ,8660283 
8889430 ,8714829 
9716709 ,8747816 
8740323 ,8753978 
8681446 ,8766934 
8855903 ,8711004 
8371473 ,8820192 
9886433 ,8642178 
7949928 ,8696616 
7535609 ,8723462 
8341203 ,8752602 
8823587 ,8748434 
8572551 ,8583495 
8970235 ,8698966 
9521694 ,8780427 
8791894 ,8752492 
8855161 ,8751851 
8626381 ,8747341 
8436110 ,8784931 
10482353 ,8886089 
7808115 ,8806325 
7827320 ,8804803 
8888180 ,8852957 
8248703 ,8770338 
9206142 ,8896655 
9606385 ,8956519 
9098858 ,8914289 
9407420 ,8921091 
8961423 ,8944648 
8664553 ,8922282 
8937871 ,8967330 
10118206 ,9015939 
8255627 ,9040942 
7804992 ,9037944 
8977132 ,8964411 
8372165 ,8974127 
9576766 ,9035856 
9263881 ,8858409 
9175373 ,8922699 
9866857 ,9074727 
8687511 ,9008829 
9145984 ,9170139 
9126772 ,9012942 
9872627 ,9024663 
8450543 ,9101220 
7889052 ,9146175 
8723746 ,9163703 
8924756 ,9302449 
9771693 ,8948828 
9458523 ,9391787 
9834041 ,9333141 
9878846 ,9274503 
9158807 ,9435595 
9674047 ,9496343 
9346703 ,9506987 
10598387 ,9608412 
8932312 ,9378926 
8152177 ,9457754 
8979208 ,9619188 
9179272 ,9568983 
10221768 ,9522932 
9735294 ,9581744 
10349397 ,9590953 
9973302 ,9658340 
9506094 ,9688155 
9932569 ,9507773 
9190709 ,9770863 
10890415 ,9696907 
9012012 ,9712468 
8495125 ,9757879 
9429886 ,9806458 
9536122 ,9770475 
9982566 ,9913599 
10180253 ,9818992 
10584240 ,9761985 
9947783 ,9884663 
9876724 ,9807140 
9817989 ,9914587 
9492162 ,9944087 
11546046 ,9808575 
8872611 ,10101682 
8695740 ,10123407 
9748331 ,10073448 
9767212 ,10073866 
10415709 ,10173369 
10867046 ,10196279 
10952786 ,10321477 
10528908 ,10124400 
10384825 ,10086810 
9935274 ,10226958 
9817581 ,10132003 
11927605 ,10279930 
9106126 ,10242214 
8781576 ,10197957 
10307540 ,10200339 
9558987 ,10427228 
10896413 ,10367102 
11336173 ,10476063 
10959877 ,10604692 
11267721 ,10603542 
10717704 ,10718884 
10386539 ,10606952 
10303696 ,10467825 
11934276 ,10643833 
9674547 ,10613236 
9207828 ,10697682 
10414669 ,10710423 
10140316 ,10738484 
11209862 ,10525518 
11146121 ,10590396 
11151934 ,10653147 
