Unadjusted,Seasonally adjusted
598158 ,663149 
565842 ,683311 
635460 ,688801 
662403 ,701279 
709560 ,720642 
714384 ,708807 
757976 ,711913 
745669 ,713475 
751065 ,723637 
772595 ,724526 
760603 ,733588 
832525 ,733112 
629335 ,708537 
582726 ,728099 
663512 ,728603 
722230 ,738566 
717365 ,728250 
745525 ,739230 
789544 ,738858 
782944 ,749036 
792009 ,753105 
805803 ,769242 
785725 ,749385 
896733 ,782538 
698371 ,784318 
641937 ,801789 
741410 ,784244 
740926 ,785845 
776892 ,788821 
807640 ,790687 
836287 ,796396 
848312 ,799181 
848969 ,801587 
835679 ,800178 
845861 ,808454 
933543 ,814327 
733235 ,821303 
655457 ,817563 
799776 ,835003 
798125 ,863575 
839797 ,839134 
849756 ,825171 
889826 ,848809 
899841 ,840859 
885810 ,841023 
880513 ,847935 
884233 ,837781 
931887 ,830100 
765666 ,846609 
701955 ,840504 
773596 ,845911 
815322 ,853558 
880850 ,868841 
870401 ,867582 
936536 ,889102 
943463 ,875276 
903879 ,872778 
857512 ,816355 
862465 ,822856 
860101 ,772373 
709498 ,776100 
602487 ,751773 
716280 ,763370 
704653 ,765212 
774326 ,763607 
769545 ,762844 
855433 ,808414 
864383 ,816311 
849833 ,809146 
860537 ,819103 
842496 ,820369 
930242 ,823466 
755115 ,826202 
657106 ,817701 
768250 ,817398 
743700 ,797841 
801693 ,801125 
831590 ,812720 
848455 ,792157 
837339 ,790795 
842560 ,801833 
848340 ,811521 
829293 ,802587 
922045 ,813608 
705381 ,784641 
650544 ,808932 
722771 ,760186 
761941 ,809843 
785331 ,786249 
799650 ,786059 
827454 ,774341 
830606 ,784358 
836429 ,788330 
809309 ,794686 
816810 ,784291 
919002 ,803313 
706286 ,790035 
660427 ,796941 
756592 ,789618 
729419 ,797150 
793715 ,782826 
817202 ,794665 
836721 ,800409 
858705 ,797106 
852026 ,800481 
790588 ,784466 
834151 ,797575 
887797 ,792357 
738714 ,815983 
640673 ,797414 
757475 ,820305 
771253 ,808002 
840255 ,822095 
832334 ,817266 
858570 ,820195 
880471 ,801892 
844089 ,807986 
820373 ,806473 
859043 ,809915 
843910 ,759635 
711842 ,787729 
636846 ,793672 
760238 ,816433 
768176 ,824061 
871829 ,840535 
831818 ,840327 
926452 ,877607 
944734 ,860270 
895705 ,854928 
853606 ,841929 
891926 ,841764 
941531 ,855449 
732600 ,804044 
640400 ,801223 
801954 ,869358 
817607 ,879939 
919217 ,885068 
872610 ,878093 
935059 ,884281 
977133 ,899592 
944587 ,895282 
921074 ,896669 
933094 ,900548 
1001515 ,902753 
806991 ,896808 
737780 ,903585 
787777 ,872116 
927744 ,956208 
906036 ,890272 
888273 ,892052 
925802 ,869686 
975024 ,906229 
963563 ,905277 
938151 ,930991 
1015403 ,965765 
1050769 ,934324 
819935 ,931672 
766959 ,961942 
890291 ,952740 
894154 ,947264 
985496 ,965126 
976380 ,967875 
1004405 ,949715 
1044269 ,953422 
1034197 ,958648 
970653 ,966652 
1041534 ,983057 
1035040 ,925201 
834813 ,949863 
751273 ,942456 
913716 ,987893 
934715 ,979151 
1001396 ,967895 
982346 ,966259 
1032870 ,982500 
1057826 ,966485 
1041310 ,970683 
932147 ,931737 
1028303 ,961376 
1047089 ,951505 
856999 ,971256 
756870 ,962389 
964877 ,1010729 
959679 ,1022350 
1083664 ,1034482 
1047838 ,1031992 
1064686 ,1029314 
