Unadjusted,Seasonally adjusted
2370253 ,2718667 
2319816 ,2745826 
2528679 ,2665130 
2525638 ,2575841 
2938924 ,2685451 
2910526 ,2687884 
2993900 ,2634762 
2982171 ,2630570 
2825919 ,2743478 
2990853 ,2905568 
2760156 ,2993885 
2773923 ,2933697 
2634531 ,3015813 
2560185 ,3065435 
2945095 ,3046691 
2944469 ,3012691 
3086723 ,2790582 
3237172 ,2979963 
3419818 ,3031841 
3643721 ,3291447 
3630544 ,3524687 
3477826 ,3439721 
3101433 ,3302690 
3146078 ,3326038 
3033602 ,3381496 
2796508 ,3308675 
3254291 ,3321922 
3470054 ,3563312 
3712593 ,3422765 
3792991 ,3498749 
4019280 ,3676565 
4089460 ,3727083 
3278364 ,3216530 
3234395 ,3196337 
3137636 ,3342245 
3266611 ,3430106 
3112400 ,3442809 
3100193 ,3617701 
3686165 ,3780167 
3704779 ,3788799 
4156959 ,3848264 
4079660 ,3791447 
4162354 ,3779660 
4063625 ,3674866 
3730146 ,3703777 
3782576 ,3767095 
3956093 ,4137388 
3931732 ,4134708 
3861195 ,4162709 
3787647 ,4212798 
4143371 ,4271527 
4310834 ,4394092 
4892001 ,4600193 
5027097 ,4759175 
5286211 ,4892834 
5030268 ,4691965 
4707763 ,4716981 
4334068 ,4285415 
3378649 ,3602281 
3031463 ,3200597 
3001119 ,3327967 
2880671 ,3402977 
3140695 ,3238291 
3191006 ,3283575 
3597180 ,3332904 
3821672 ,3592753 
3892185 ,3439459 
3915334 ,3584102 
3723130 ,3666551 
3700792 ,3643890 
3591847 ,3772405 
3652554 ,3823311 
3639699 ,3975450 
3406697 ,3933515 
3915397 ,3998577 
3881808 ,3976688 
4140854 ,3910303 
4164327 ,3923094 
4364011 ,3942405 
4322204 ,3983911 
4061399 ,3990394 
4293686 ,4241167 
4225002 ,4425571 
4483091 ,4597100 
4249175 ,4616758 
4076420 ,4604308 
4748866 ,4819060 
4705450 ,4843091 
5119091 ,4870858 
5064922 ,4780320 
5230789 ,4796367 
5185579 ,4832276 
4938294 ,4854885 
4943186 ,4906439 
4772516 ,4959143 
4716384 ,4867167 
4480094 ,4850070 
4479360 ,4934016 
4898481 ,4977819 
4848132 ,5001427 
5192181 ,4940936 
5081561 ,4822239 
5206077 ,4805428 
5394367 ,4988652 
5094028 ,5081368 
5153759 ,5102510 
4821564 ,4968501 
4714623 ,4891258 
4612736 ,4968493 
4532790 ,5092463 
5003317 ,5089124 
4681982 ,4852598 
5291049 ,4979441 
5280089 ,5031674 
5649077 ,5229920 
5631443 ,5244947 
5270467 ,5216657 
5272769 ,5199063 
5108645 ,5280430 
5228680 ,5378235 
5148651 ,5457319 
4939482 ,5516541 
5430468 ,5554744 
5351013 ,5514285 
5788167 ,5517408 
5795082 ,5524280 
5969438 ,5548259 
5822888 ,5434651 
5442694 ,5412673 
5393778 ,5276647 
4946122 ,5136473 
4608630 ,4743131 
4045075 ,4416659 
4023569 ,4612702 
4521349 ,4668654 
4384020 ,4556569 
4987070 ,4677852 
5161898 ,4899073 
5450344 ,4942628 
5228775 ,4854852 
4768346 ,4705316 
4734722 ,4657810 
4389575 ,4570337 
4307876 ,4440168 
3871115 ,4249037 
3662724 ,4214157 
4079684 ,4230466 
4272260 ,4492426 
4807144 ,4506154 
4975142 ,4663518 
5013495 ,4544148 
4977073 ,4586562 
4752018 ,4641744 
4909117 ,4866068 
4614402 ,4808763 
5000872 ,5132004 
4850561 ,5239295 
4419626 ,5022965 
4905820 ,5037100 
4901008 ,5137208 
5266838 ,4960338 
5215354 ,4879588 
5318191 ,4870536 
5505875 ,5089068 
5328184 ,5257529 
5373886 ,5308598 
5424089 ,5587798 
5492022 ,5611431 
5272227 ,5660590 
4919893 ,5532525 
5332447 ,5523810 
5394148 ,5602751 
6274422 ,5933648 
6097644 ,5801073 
6377579 ,5904489 
6232110 ,5771766 
5764723 ,5701188 
5910321 ,5849195 
5201821 ,5350558 
5014942 ,5160684 
4679866 ,5058770 
4513820 ,5183254 
5336314 ,5512945 
5327892 ,5550853 
6152193 ,5706425 
5759991 ,5496161 
6003388 ,5513041 
