Unadjusted,Seasonally adjusted
2648234 ,3338358 
2524296 ,3429203 
2891595 ,3442165 
3294099 ,3445377 
3577396 ,3463534 
3568797 ,3464372 
3573474 ,3495959 
3397922 ,3528677 
3224767 ,3470713 
3602537 ,3531328 
3937907 ,3546136 
5448684 ,3533886 
2774537 ,3543481 
2558370 ,3549180 
3086078 ,3564561 
3402833 ,3573072 
3606173 ,3542989 
3798638 ,3644240 
3670858 ,3623475 
3511149 ,3609128 
3375428 ,3611427 
3723571 ,3689389 
4121291 ,3678737 
5677788 ,3677035 
2936934 ,3778702 
2737918 ,3772975 
3288251 ,3805514 
3654424 ,3805438 
3981789 ,3851386 
3962836 ,3786426 
3872882 ,3850537 
3804864 ,3859484 
3688506 ,3883487 
3872142 ,3904733 
4296541 ,3799466 
5925520 ,3924459 
3102721 ,3925959 
2866478 ,3941835 
3450313 ,3937031 
3660615 ,3885184 
4227268 ,4028345 
4208353 ,3997324 
3940105 ,3990461 
3989834 ,4020798 
3803262 ,4015655 
3958823 ,3969069 
4580126 ,4077096 
6209161 ,4208304 
3297378 ,4106738 
3091515 ,4103460 
3559236 ,4097446 
3951443 ,4199189 
4465735 ,4182546 
4335682 ,4248580 
4275092 ,4244670 
4221442 ,4275931 
4030067 ,4295186 
4319358 ,4259897 
4774188 ,4288409 
6251438 ,4270523 
3473564 ,4233103 
3108121 ,4249115 
3589266 ,4223669 
4101205 ,4262455 
4531574 ,4266567 
4382067 ,4287636 
4354906 ,4288668 
4205125 ,4294196 
4136521 ,4338258 
4500320 ,4415444 
4699568 ,4270111 
6484974 ,4437987 
3657270 ,4462166 
3277060 ,4439562 
3906718 ,4494309 
4320372 ,4507901 
4705795 ,4453405 
4538065 ,4416985 
4591498 ,4469199 
4324557 ,4463349 
4391647 ,4538412 
4569809 ,4515355 
4979054 ,4563611 
6663940 ,4601533 
3740527 ,4585350 
3371613 ,4561494 
4003547 ,4583747 
4459807 ,4606676 
4838551 ,4621313 
4830311 ,4683295 
4780086 ,4680178 
4565973 ,4676111 
4577586 ,4722047 
4718435 ,4708251 
5197908 ,4757343 
6913140 ,4811679 
3868951 ,4789616 
3684187 ,4796103 
4376003 ,4896663 
4562789 ,4818741 
5192910 ,4854714 
4972552 ,4802394 
4834287 ,4815760 
4849611 ,4847852 
4668908 ,4824357 
4828874 ,4865226 
5313063 ,4805584 
6787479 ,4822603 
3962897 ,4823608 
3708450 ,4904542 
4357888 ,4902318 
4605509 ,4890750 
5412378 ,5002739 
5080704 ,4931594 
5098954 ,5044318 
5090677 ,5030811 
4786142 ,5027287 
5070200 ,5052425 
5610568 ,5069063 
7038682 ,5143594 
4258843 ,5143840 
3923358 ,5128350 
4504875 ,5142896 
5011732 ,5229778 
5682046 ,5202965 
5509504 ,5408245 
5385005 ,5255298 
5378929 ,5352094 
5053141 ,5305595 
5334749 ,5268707 
5928780 ,5411087 
7276079 ,5398186 
4306981 ,5148287 
4227696 ,5454230 
4641960 ,5347605 
5113479 ,5290558 
5790910 ,5336648 
5458010 ,5335124 
5498159 ,5331278 
5311536 ,5339453 
5172392 ,5406633 
5504462 ,5357748 
5820200 ,5354596 
7212202 ,5355826 
4437077 ,5419885 
4228487 ,5416341 
4741165 ,5352881 
5290064 ,5446838 
5737715 ,5376579 
5481714 ,5253229 
5461613 ,5305044 
5232686 ,5312263 
5121231 ,5305812 
5449427 ,5378048 
5811936 ,5289036 
7237918 ,5375078 
4429697 ,5518353 
4194066 ,5444748 
4921097 ,5575743 
5619293 ,5716476 
6024016 ,5576327 
5942715 ,5659812 
5802361 ,5664076 
5618388 ,5635818 
5425447 ,5604175 
5781944 ,5759723 
6505684 ,5858351 
7337697 ,5588802 
4555855 ,5644597 
4376170 ,5676884 
5213424 ,5741434 
5349682 ,5622969 
6403769 ,5816756 
6144849 ,5828962 
5892036 ,5817514 
5831099 ,5832324 
5692843 ,5934885 
5871369 ,5828569 
6585691 ,5902841 
7647449 ,5916503 
4676103 ,5761522 
4613284 ,5977783 
5352782 ,5999319 
5801336 ,5994517 
6495460 ,5928286 
6477088 ,6106056 
6164073 ,6043877 
