Unadjusted,Seasonally adjusted
5494535 ,5451108 
4837660 ,5414996 
5107575 ,5451755 
5364622 ,5395616 
5582669 ,5399281 
5478497 ,5449368 
5961651 ,5395830 
5408011 ,5526196 
5498455 ,5578971 
5669989 ,5571380 
5367287 ,5726130 
6219238 ,5629559 
5506063 ,5838269 
5002593 ,5686450 
5607022 ,5667364 
5636677 ,5618325 
5722047 ,5712801 
5820126 ,5689259 
6142947 ,5726310 
5686687 ,5730520 
5815107 ,5752632 
5619744 ,5714291 
5483354 ,5733262 
6603122 ,5776006 
5252407 ,5745953 
5142072 ,5808264 
5772336 ,5791889 
5738599 ,5789195 
5923397 ,5833698 
6086374 ,5796956 
6121800 ,5900833 
6069469 ,5893607 
6075420 ,5885386 
5679141 ,5938807 
5747858 ,5897268 
6664161 ,5991177 
5481672 ,5898544 
5316468 ,5982069 
6134364 ,5919202 
5741471 ,6084767 
6393934 ,6100495 
6522662 ,6107896 
6124799 ,6090742 
6376010 ,6100888 
6095349 ,6092706 
5943342 ,6152460 
6146013 ,6179408 
6648460 ,6215365 
5960077 ,6196466 
5811035 ,6230664 
6118978 ,6246912 
6008934 ,6255119 
6857201 ,6277554 
6246058 ,6346141 
6655833 ,6392324 
6727122 ,6426222 
6210738 ,6449317 
6705861 ,6639702 
6435762 ,6558953 
6862876 ,6581101 
6712776 ,6637348 
5874302 ,6618612 
6256829 ,6637929 
6605710 ,6701957 
7052632 ,6622313 
6646310 ,6634229 
6977926 ,6605363 
6638863 ,6544636 
6521755 ,6649960 
6910144 ,6619192 
6244705 ,6618869 
7066053 ,6617599 
6598950 ,6664409 
5908171 ,6654755 
6402121 ,6682776 
6756787 ,6768755 
6962878 ,6752245 
6903417 ,6818510 
7393084 ,6809435 
6733892 ,6826670 
6782115 ,6834638 
6909421 ,6758841 
6531576 ,6863020 
7242820 ,6691177 
6456585 ,6745755 
6004145 ,6773363 
6640925 ,6812319 
6929639 ,6798629 
6664871 ,6644602 
6889719 ,6734145 
7205906 ,6799452 
6735484 ,6789229 
6837738 ,6747599 
6688388 ,6738985 
6528498 ,6787004 
7600044 ,6810859 
6343564 ,6822217 
6207180 ,6807243 
6994091 ,6822011 
6416644 ,6748159 
7122020 ,6848654 
7332120 ,6899812 
6883810 ,6877383 
7142246 ,6882308 
6931362 ,6900848 
6718850 ,6874447 
6853544 ,6887775 
7363587 ,6938163 
6647893 ,6926325 
6157510 ,6942496 
6986498 ,6874852 
6545089 ,6900459 
7290830 ,6868654 
7031070 ,6781670 
6880972 ,6830846 
7393594 ,6913055 
6632132 ,6876336 
7037089 ,6997697 
6927114 ,6856908 
7128192 ,6888684 
6753706 ,6925584 
6179931 ,6972104 
6804024 ,7001277 
6857385 ,7068794 
7422404 ,6765736 
7138103 ,7161237 
7350026 ,7107034 
7430116 ,7096874 
7028170 ,7219107 
7455645 ,7273507 
7141731 ,7275976 
7620816 ,7314826 
7168568 ,7144239 
6374597 ,7197500 
6946032 ,7307073 
7069722 ,7260526 
7796692 ,7248234 
7330983 ,7270671 
7649240 ,7252617 
7390315 ,7285775 
7197181 ,7309102 
7567797 ,7187498 
6942562 ,7410629 
7767007 ,7326830 
7191582 ,7344266 
6564922 ,7337079 
7222146 ,7387862 
7333441 ,7374602 
7540938 ,7469776 
7610616 ,7412748 
7834897 ,7381053 
7396029 ,7484036 
7472030 ,7397202 
7461335 ,7480422 
7123429 ,7484016 
8187693 ,7385995 
7111113 ,7663998 
6773283 ,7659962 
7523928 ,7624112 
7466032 ,7570489 
7857224 ,7669531 
8084429 ,7662836 
8081655 ,7759615 
7768012 ,7601015 
7815511 ,7543803 
7503459 ,7672354 
7326962 ,7590802 
8407925 ,7701016 
7189437 ,7648830 
6771420 ,7620924 
7812041 ,7608890 
7321722 ,7812549 
8141768 ,7739739 
8417673 ,7859901 
8098955 ,7975839 
8225958 ,7928203 
8166974 ,8094998 
7797513 ,7933366 
7650852 ,7817109 
8435343 ,7989308 
7636651 ,7920521 
7128536 ,8028285 
8001552 ,8040296 
7671692 ,8016312 
8363512 ,7864483 
8240291 ,7894145 
8177436 ,7953507 
