Unadjusted,Seasonally adjusted
1823803 ,1866342 
1738686 ,1861370 
1848571 ,1860220 
1836463 ,1877579 
1858971 ,1873793 
1885449 ,1900004 
1858440 ,1903550 
1864687 ,1921548 
1873607 ,1905043 
1933347 ,1929041 
1948369 ,1940697 
2305830 ,1937037 
1856942 ,1940862 
1779853 ,1944153 
1951367 ,1949669 
1916973 ,1958142 
1946478 ,1945443 
1930708 ,1940915 
1890011 ,1954574 
1945118 ,1967218 
1980408 ,1994527 
2000915 ,2010250 
2039986 ,2018457 
2429124 ,2043672 
1968049 ,2043726 
1905736 ,2081078 
2120536 ,2105278 
2038581 ,2126036 
2197575 ,2159601 
2201194 ,2198930 
2108177 ,2199264 
2187734 ,2202573 
2197103 ,2219215 
2227007 ,2226964 
2281432 ,2261312 
2680468 ,2289615 
2249954 ,2299159 
2131119 ,2330194 
2347539 ,2336751 
2222606 ,2320758 
2396014 ,2337608 
2340116 ,2342883 
2272002 ,2355292 
2411031 ,2411777 
2321984 ,2398590 
2439373 ,2404363 
2446996 ,2413226 
2791854 ,2419984 
2393209 ,2442285 
2304961 ,2428468 
2370018 ,2426962 
2384991 ,2453813 
2513624 ,2449504 
2382280 ,2447927 
2417939 ,2464577 
2430416 ,2480341 
2419045 ,2476308 
2542444 ,2486035 
2439037 ,2463156 
2870560 ,2449148 
2463168 ,2504294 
2284345 ,2511358 
2440890 ,2481898 
2433211 ,2499760 
2574992 ,2529790 
2548677 ,2566734 
2590194 ,2603470 
2523252 ,2591107 
2551234 ,2595943 
2651962 ,2592838 
2566582 ,2585882 
2986298 ,2551734 
2555815 ,2639170 
2410661 ,2664587 
2690003 ,2696615 
2635866 ,2684491 
2723637 ,2701318 
2657466 ,2670991 
2640534 ,2666144 
2608303 ,2671380 
2609933 ,2676461 
2710541 ,2689501 
2745392 ,2711754 
3179125 ,2694865 
2594868 ,2717394 
2446426 ,2718137 
2752808 ,2751638 
2700037 ,2748777 
2780856 ,2739507 
2741472 ,2757780 
2683697 ,2742406 
2713286 ,2743212 
2691728 ,2746748 
2754595 ,2759056 
2822906 ,2766199 
3269688 ,2761514 
2619909 ,2741387 
2546915 ,2743313 
2726010 ,2736589 
2663888 ,2761220 
2854536 ,2777684 
2787409 ,2805050 
2759160 ,2832437 
2818496 ,2836689 
2710254 ,2842226 
2883270 ,2833770 
2918548 ,2846207 
3354267 ,2886091 
2779072 ,2869398 
2552678 ,2858034 
2808378 ,2859646 
2840676 ,2886722 
3022220 ,2931538 
2856880 ,2932616 
2903801 ,2931773 
2934861 ,2963213 
2845965 ,2981818 
3083514 ,3012503 
3116430 ,3038171 
3583532 ,3062576 
2887713 ,2971468 
2747224 ,3067422 
2993650 ,3067986 
3048703 ,3074148 
3117527 ,3037943 
2987269 ,3064275 
3086889 ,3100968 
3027515 ,3094901 
3008544 ,3104752 
3216691 ,3124423 
3135437 ,3109517 
3711071 ,3150430 
3045500 ,3138871 
2836075 ,3146838 
3218803 ,3266039 
3179564 ,3200985 
3267042 ,3225588 
3204697 ,3237258 
3246742 ,3252740 
3146065 ,3251139 
3194906 ,3295183 
3388798 ,3303621 
3380939 ,3342172 
3887005 ,3335706 
3465985 ,3630040 
3406817 ,3648458 
3688926 ,3686157 
3658555 ,3684433 
3738703 ,3726722 
3678988 ,3729373 
3620748 ,3721164 
3705491 ,3764844 
3620042 ,3732842 
3736476 ,3722962 
3880439 ,3740485 
4352991 ,3766682 
3656454 ,3833493 
3538735 ,3885394 
3890209 ,3855721 
3831317 ,3917981 
3960903 ,3873467 
3879887 ,3889156 
3787514 ,3927112 
3850450 ,3879717 
3749639 ,3851353 
3971887 ,3896190 
4092081 ,3915182 
4262770 ,3747081 
3770676 ,3891769 
3544218 ,3884750 
3915218 ,3896001 
3786167 ,3886880 
4010215 ,3916924 
3897888 ,3928858 
3768202 ,3915604 
3950064 ,3977806 
3858003 ,4040651 
4197903 ,4052941 
4246894 ,4038969 
4476513 ,3990806 
3866299 ,3995673 
3637412 ,3999700 
3984964 ,4008987 
3949444 ,4012071 
4111236 ,4024379 
3802644 ,3967658 
4083650 ,4070670 
