Unadjusted,Seasonally adjusted
134143 ,187128 
151297 ,176323 
126751 ,174257 
138031 ,174440 
168034 ,177978 
168390 ,183113 
164608 ,179048 
166037 ,178869 
149008 ,179980 
147245 ,181740 
177384 ,181102 
470566 ,187514 
118536 ,172130 
149097 ,178824 
133336 ,180582 
144266 ,180159 
172445 ,184637 
166847 ,181120 
168513 ,184164 
170689 ,183125 
157939 ,186283 
146278 ,187228 
182413 ,184524 
484985 ,192569 
130993 ,193126 
163840 ,197521 
155150 ,205872 
155166 ,199201 
185688 ,199036 
188047 ,200432 
175696 ,199075 
192711 ,203843 
173246 ,202003 
158236 ,204658 
221294 ,222029 
544381 ,217649 
145634 ,212541 
175635 ,209616 
161493 ,208767 
167997 ,217014 
201102 ,208861 
202719 ,210730 
195589 ,220296 
217067 ,220605 
187482 ,220228 
174469 ,221081 
226827 ,217443 
527388 ,216217 
158649 ,225022 
194892 ,216173 
164067 ,216445 
176706 ,220602 
221532 ,218337 
205202 ,221427 
199261 ,218091 
218733 ,219450 
184269 ,218478 
176432 ,213355 
216259 ,208391 
478552 ,198784 
148395 ,202977 
174805 ,204545 
152002 ,201277 
159010 ,198755 
202331 ,202330 
188123 ,203993 
186269 ,202584 
197379 ,206449 
170172 ,203585 
162327 ,196760 
192244 ,187671 
479335 ,201467 
151740 ,214121 
178637 ,210788 
163383 ,217473 
174732 ,216615 
215614 ,221097 
200817 ,219830 
198653 ,217700 
196248 ,212194 
176362 ,211103 
178477 ,219261 
225359 ,218974 
545233 ,226099 
153662 ,225414 
193007 ,228581 
171583 ,227524 
191582 ,237883 
222883 ,232132 
213219 ,232687 
213597 ,238690 
221750 ,241140 
210104 ,247721 
201611 ,251274 
258719 ,246629 
606497 ,248541 
163294 ,244888 
216976 ,247102 
193052 ,245933 
188566 ,240664 
250570 ,256634 
230992 ,245892 
216357 ,249626 
234992 ,247307 
204495 ,243385 
199763 ,247385 
277694 ,252883 
595257 ,250307 
160160 ,237341 
191799 ,224362 
181445 ,236521 
195516 ,242859 
238769 ,239240 
225111 ,245186 
204831 ,233842 
228191 ,237622 
206327 ,246900 
197008 ,239420 
275559 ,246637 
570310 ,245098 
169645 ,245731 
213723 ,250744 
191473 ,249453 
191955 ,241922 
244785 ,244627 
220914 ,243375 
216296 ,244777 
232337 ,244307 
204632 ,243223 
209561 ,246605 
272808 ,247477 
590698 ,256586 
181989 ,259450 
224763 ,264654 
208588 ,277066 
213794 ,265826 
260814 ,260306 
238591 ,259005 
242355 ,264609 
256472 ,275654 
228460 ,268425 
233653 ,268147 
290485 ,264450 
629142 ,281516 
181508 ,261912 
247369 ,285229 
193580 ,255417 
221497 ,267310 
245868 ,253912 
243796 ,264090 
248590 ,269471 
250397 ,272634 
238129 ,271939 
235022 ,277122 
310928 ,276389 
610063 ,271323 
196809 ,293598 
232067 ,274376 
218610 ,280138 
247257 ,306410 
310052 ,311396 
291263 ,302424 
270161 ,293725 
273799 ,295596 
265553 ,295976 
252895 ,294838 
341200 ,294540 
632484 ,289134 
208874 ,306222 
244382 ,286643 
246820 ,308892 
231420 ,287350 
312400 ,305663 
301145 ,304966 
284119 ,308325 
275470 ,291108 
263930 ,301283 
262985 ,301662 
368723 ,306549 
590370 ,281975 
190567 ,271357 
258681 ,308592 
262153 ,322795 
266712 ,320847 
322915 ,306066 
292624 ,303920 
260950 ,287988 
