Unadjusted,Seasonally adjusted
628714 ,742938 
619631 ,760088 
725010 ,761975 
717873 ,781260 
787527 ,774167 
807165 ,755690 
760860 ,773866 
826219 ,781851 
861229 ,778173 
773129 ,767599 
733923 ,776116 
994627 ,782185 
628122 ,759865 
624405 ,781227 
749753 ,780243 
712471 ,771553 
788082 ,780630 
845463 ,788943 
757318 ,785238 
846149 ,783163 
874057 ,789203 
800284 ,797929 
765361 ,798939 
1031726 ,806258 
676022 ,817967 
666901 ,834318 
808567 ,839862 
777540 ,855193 
874754 ,849869 
912714 ,852855 
820612 ,855070 
917630 ,838189 
942373 ,843852 
851038 ,852229 
820543 ,849414 
1096581 ,876456 
741316 ,874192 
688771 ,863352 
853240 ,884160 
791552 ,882878 
935837 ,905130 
971690 ,908260 
857220 ,901836 
1004853 ,917658 
1006280 ,917893 
944754 ,928542 
890039 ,919579 
1136592 ,918664 
807474 ,939837 
733217 ,888610 
871713 ,934646 
855530 ,931965 
961375 ,928372 
977349 ,949261 
934548 ,957529 
1037983 ,962401 
1056399 ,960575 
968122 ,941975 
910571 ,945566 
1137043 ,910587 
802622 ,926245 
763940 ,951272 
856367 ,928618 
859595 ,933118 
939284 ,921424 
967355 ,926618 
918026 ,934809 
1027516 ,956508 
1067715 ,962738 
984199 ,950651 
943505 ,971958 
1186936 ,953101 
812942 ,948026 
754017 ,933818 
870995 ,934253 
854898 ,923684 
922805 ,907323 
955626 ,910192 
881550 ,890758 
955116 ,897710 
986163 ,882243 
916364 ,897642 
879970 ,891410 
1147271 ,920658 
769876 ,903861 
733703 ,908752 
828446 ,891923 
825430 ,892181 
910161 ,898668 
934875 ,887388 
875673 ,896251 
963304 ,897714 
1002971 ,902269 
913216 ,901620 
920817 ,924744 
1187508 ,960608 
761005 ,903157 
761195 ,908763 
865492 ,933833 
827764 ,918421 
964880 ,925708 
996087 ,943388 
897765 ,925715 
978931 ,901081 
1033127 ,945770 
978827 ,955749 
951175 ,943372 
1147426 ,958718 
860487 ,997738 
796899 ,987486 
896549 ,987049 
930769 ,1020297 
1055810 ,995850 
1013767 ,968612 
999150 ,1001238 
1081706 ,991194 
1089489 ,1007781 
1019712 ,979970 
1006963 ,991116 
1196464 ,1019435 
887076 ,1025901 
826020 ,1024030 
888606 ,993365 
911850 ,991908 
1117126 ,1047314 
1075494 ,1032880 
1032852 ,1018914 
1112561 ,1036285 
1094720 ,1009674 
1084298 ,1031092 
1046399 ,1045205 
1195940 ,1016374 
871785 ,1015914 
836318 ,1040512 
942475 ,1072009 
982857 ,1066676 
1099293 ,1039951 
1140339 ,1075774 
1120349 ,1087059 
1165251 ,1090949 
1182968 ,1089954 
1142954 ,1076387 
1080105 ,1090451 
1274199 ,1093256 
958033 ,1160581 
941751 ,1149523 
1034413 ,1162149 
1089337 ,1185658 
1217071 ,1158882 
1247767 ,1160515 
1207240 ,1179510 
1262708 ,1174326 
1288854 ,1193537 
1264502 ,1208987 
1226181 ,1208735 
1409700 ,1205152 
936156 ,1171395 
936547 ,1184226 
1029194 ,1157349 
1061931 ,1180642 
1324940 ,1216099 
1324747 ,1212983 
1214106 ,1181735 
1295572 ,1185136 
1296844 ,1199153 
1256592 ,1192489 
1222222 ,1201116 
1419182 ,1235709 
966726 ,1198034 
980151 ,1245946 
1125960 ,1262138 
1098196 ,1246407 
1419728 ,1275652 
1394369 ,1270059 
1333919 ,1296143 
1418407 ,1289500 
1325503 ,1259808 
1427325 ,1328831 
1347751 ,1324660 
1465759 ,1306617 
1110188 ,1355393 
1049459 ,1323509 
1191033 ,1350857 
1214505 ,1371465 
1566564 ,1404527 
1547697 ,1429055 
1536340 ,1453455 
