Unadjusted,Seasonally adjusted
148065 ,199029 
129116 ,202878 
170625 ,205639 
208549 ,200823 
225147 ,207694 
207180 ,204399 
200476 ,206548 
208060 ,200967 
215061 ,198602 
218925 ,196091 
202301 ,188670 
278821 ,200985 
145253 ,204417 
130720 ,210178 
169459 ,208282 
233903 ,213398 
221611 ,210147 
217832 ,215104 
200704 ,209724 
225103 ,212643 
225849 ,208095 
226404 ,210681 
237918 ,215092 
290754 ,207749 
145281 ,209542 
133251 ,215561 
187077 ,218978 
234959 ,229595 
238017 ,222004 
227501 ,224497 
208468 ,227012 
244553 ,226685 
263797 ,237380 
246985 ,234229 
236970 ,212227 
320790 ,229941 
168582 ,235173 
139606 ,224971 
199908 ,230744 
228339 ,231195 
257131 ,234801 
237603 ,228327 
206541 ,229734 
266625 ,240085 
237974 ,217977 
238797 ,218836 
260000 ,230379 
311911 ,230795 
164445 ,223745 
148545 ,229256 
169171 ,213868 
231128 ,219576 
249879 ,223900 
230930 ,240638 
212970 ,229485 
256836 ,233128 
245540 ,233446 
264417 ,233432 
258931 ,231793 
309306 ,229832 
171971 ,226716 
137595 ,224013 
181332 ,230150 
231055 ,227424 
246025 ,225787 
222605 ,228646 
216699 ,229710 
246980 ,228981 
254535 ,234152 
279222 ,242143 
233157 ,214290 
330180 ,239344 
182030 ,240162 
147796 ,239011 
220133 ,272443 
250413 ,246420 
255793 ,238870 
234615 ,235673 
226963 ,235670 
252280 ,242107 
275860 ,245576 
271511 ,236570 
262610 ,243508 
339583 ,243577 
181823 ,243956 
152419 ,245889 
197118 ,235972 
243986 ,241548 
261575 ,250285 
252658 ,252459 
242892 ,254552 
264076 ,252993 
276254 ,248223 
279635 ,249969 
277603 ,252171 
345246 ,247269 
183121 ,252181 
160163 ,246714 
228207 ,262278 
238629 ,247881 
272897 ,249072 
253375 ,251502 
230306 ,252506 
261940 ,239557 
278713 ,251641 
287317 ,260452 
272784 ,240271 
337616 ,251013 
192052 ,256355 
163833 ,261650 
213517 ,253668 
250473 ,253016 
282754 ,251550 
242498 ,244843 
229500 ,248709 
285910 ,256120 
269156 ,254297 
285542 ,255359 
300911 ,259039 
347109 ,268650 
195506 ,260866 
159729 ,256661 
201418 ,238061 
258242 ,261395 
302021 ,266409 
258244 ,272378 
249133 ,265033 
300449 ,270515 
280055 ,269773 
296628 ,263936 
331309 ,284558 
352868 ,276015 
201271 ,270108 
171634 ,273637 
241896 ,297543 
299029 ,293466 
325883 ,290037 
277580 ,292180 
288081 ,298485 
326626 ,298554 
314520 ,299987 
344655 ,303195 
338237 ,296619 
383061 ,298663 
232350 ,322946 
209273 ,325672 
274311 ,331269 
334674 ,318316 
351283 ,329220 
309931 ,317966 
316377 ,326244 
362734 ,334226 
360163 ,345429 
375911 ,347533 
395417 ,331011 
448152 ,340741 
230326 ,343662 
223703 ,351430 
283019 ,331305 
367596 ,360841 
371564 ,339993 
356467 ,356341 
333653 ,347519 
385696 ,344399 
348811 ,336901 
356494 ,336573 
439405 ,353888 
455660 ,349542 
226944 ,338687 
219704 ,345803 
296966 ,347631 
332725 ,337050 
399444 ,354363 
359279 ,353033 
338438 ,357203 
400632 ,351349 
336471 ,339453 
370197 ,346955 
455704 ,357556 
440659 ,348080 
233516 ,344209 
214860 ,337879 
298637 ,348994 
327026 ,337065 
366250 ,330971 
361386 ,349255 
320908 ,337569 
