Unadjusted,Seasonally adjusted
214305 ,249816 
229116 ,265245 
247743 ,269978 
279313 ,273395 
290478 ,275148 
299208 ,283006 
312161 ,285560 
296718 ,290596 
281584 ,289255 
283413 ,285533 
263861 ,286849 
371556 ,315074 
232452 ,275367 
244034 ,288578 
283510 ,291054 
289965 ,293344 
314697 ,298598 
318660 ,299530 
327970 ,302703 
311208 ,302034 
295407 ,300754 
298982 ,303899 
275621 ,296099 
363441 ,303987 
254651 ,301993 
252983 ,297873 
287120 ,306892 
320509 ,313507 
331432 ,312178 
335257 ,313908 
340247 ,318409 
334393 ,321237 
320938 ,324579 
323256 ,331695 
308276 ,328834 
395240 ,333197 
293661 ,344280 
285351 ,333809 
321667 ,336653 
333570 ,332511 
364605 ,338944 
362858 ,337764 
359283 ,340428 
347379 ,333340 
330662 ,337035 
334421 ,341911 
328489 ,346729 
405590 ,344132 
311176 ,360161 
313651 ,353214 
336198 ,346290 
344133 ,351907 
382701 ,354126 
369487 ,356332 
373854 ,352251 
372086 ,359240 
353312 ,364337 
349350 ,354572 
345730 ,364263 
416038 ,351024 
329417 ,374200 
318264 ,372854 
350214 ,378741 
384996 ,376517 
403554 ,379383 
398593 ,381409 
407970 ,387310 
394549 ,385798 
370186 ,379444 
371180 ,373501 
355563 ,377990 
453563 ,370901 
327538 ,378820 
336188 ,393908 
394021 ,410863 
403570 ,406207 
422006 ,405175 
422007 ,403890 
422988 ,401624 
414671 ,409826 
402743 ,414460 
405636 ,411336 
388223 ,406006 
518182 ,415659 
345817 ,411361 
343917 ,404524 
380367 ,404455 
416499 ,406823 
415371 ,404318 
437262 ,421226 
430489 ,416362 
425682 ,419769 
410306 ,421106 
423780 ,431865 
424838 ,437933 
570457 ,445044 
358435 ,435713 
381118 ,435083 
415462 ,432084 
424539 ,430950 
450350 ,432124 
456892 ,437234 
444737 ,439078 
451396 ,440223 
432822 ,448244 
443857 ,448070 
446941 ,452245 
581807 ,457308 
386351 ,468956 
394856 ,466952 
461941 ,464190 
446935 ,470888 
502142 ,480650 
495802 ,482619 
497612 ,488227 
516335 ,500713 
469951 ,493316 
512339 ,507918 
508859 ,508378 
643557 ,503873 
405790 ,497881 
425721 ,505104 
482188 ,513607 
517003 ,517589 
547531 ,520191 
516055 ,512047 
533021 ,516188 
527562 ,519037 
495322 ,513223 
528245 ,519636 
517937 ,521110 
699947 ,540706 
422898 ,521559 
446443 ,530197 
520433 ,537805 
521658 ,540942 
565061 ,543201 
543534 ,538134 
561663 ,539889 
535094 ,535517 
527449 ,540533 
563232 ,546406 
543226 ,551565 
721300 ,546244 
440545 ,555117 
477759 ,553109 
541556 ,543140 
515481 ,544982 
546603 ,540386 
557644 ,544472 
571727 ,552913 
545816 ,551951 
560433 ,564381 
562301 ,558554 
553549 ,559103 
753451 ,558757 
435005 ,563120 
475068 ,569704 
554860 ,580839 
617680 ,635522 
609308 ,599250 
643124 ,620973 
641248 ,627808 
630923 ,631262 
632971 ,633715 
626520 ,625864 
628084 ,630304 
862574 ,639005 
497107 ,640110 
539810 ,649552 
662692 ,651465 
586387 ,646645 
675504 ,654004 
679221 ,650268 
652485 ,646884 
658118 ,652909 
646031 ,653904 
676410 ,666338 
667580 ,665786 
907236 ,670714 
521602 ,664935 
553317 ,662834 
617328 ,656338 
654397 ,670562 
678359 ,662570 
689566 ,670019 
691120 ,677328 
