Unadjusted,Seasonally adjusted
660214 ,724156 
541659 ,720343 
606110 ,711162 
655854 ,705117 
652809 ,692436 
674141 ,714422 
695925 ,713141 
730909 ,733174 
731975 ,718293 
647863 ,689964 
743326 ,721673 
1241839 ,738741 
634840 ,717143 
528083 ,720566 
620771 ,717965 
675984 ,716523 
672407 ,722693 
688902 ,730357 
717921 ,745968 
749643 ,741088 
752220 ,736919 
686915 ,742534 
784941 ,749284 
1277274 ,748863 
700047 ,800896 
549121 ,749664 
652047 ,750878 
710777 ,760306 
723662 ,765273 
722332 ,762785 
732724 ,772391 
788390 ,765457 
807004 ,775837 
719379 ,785455 
818409 ,777334 
1328149 ,785763 
714469 ,805726 
591868 ,808609 
719264 ,815625 
746032 ,818043 
776568 ,809072 
765213 ,794675 
746656 ,798308 
843243 ,818341 
841322 ,816336 
758933 ,816869 
866673 ,819566 
1380761 ,829832 
735062 ,819680 
609947 ,806745 
713184 ,833923 
785424 ,841926 
811636 ,838711 
789120 ,855098 
794122 ,831445 
852356 ,831380 
828555 ,812822 
764654 ,811043 
859412 ,807117 
1366435 ,820015 
749803 ,828134 
603281 ,836210 
713995 ,843675 
801899 ,859667 
829428 ,869244 
820115 ,869014 
836967 ,876125 
877868 ,871823 
900156 ,864830 
816246 ,857722 
851556 ,805569 
1417854 ,837153 
772623 ,858213 
611748 ,850920 
765266 ,906752 
776496 ,849323 
788431 ,844529 
819499 ,854870 
829983 ,868289 
846743 ,855879 
916861 ,872503 
832086 ,880117 
941606 ,874782 
1495924 ,881091 
766081 ,867225 
627400 ,881901 
739546 ,877784 
785338 ,871690 
793849 ,865249 
841029 ,881106 
818415 ,872880 
872888 ,874345 
937852 ,888243 
839716 ,900029 
1015135 ,908951 
1558694 ,906541 
795389 ,910335 
653159 ,889204 
787169 ,935143 
765035 ,878021 
845077 ,888353 
861068 ,895861 
819066 ,890123 
917667 ,889020 
945772 ,881939 
811391 ,869632 
976436 ,855499 
1475614 ,869713 
779115 ,881738 
615958 ,880832 
735719 ,890085 
779689 ,897343 
859326 ,899237 
841345 ,888245 
822533 ,891163 
955966 ,917678 
963028 ,920461 
856772 ,913915 
1079188 ,925457 
1534357 ,916840 
793411 ,916788 
636059 ,918091 
749239 ,923883 
816324 ,927142 
925311 ,958459 
887571 ,961454 
908310 ,962461 
998234 ,965001 
1003999 ,957876 
899857 ,963792 
1145601 ,976685 
1639413 ,971697 
781592 ,922102 
669733 ,966613 
774107 ,961595 
869501 ,976507 
931413 ,976186 
916687 ,990667 
951119 ,993523 
1017700 ,998741 
1006422 ,963342 
953724 ,1012486 
1187882 ,1017480 
1740266 ,1020906 
827111 ,995140 
722733 ,1016346 
847346 ,1018204 
902931 ,1005059 
945737 ,1016189 
934568 ,988732 
962849 ,996647 
1013562 ,996859 
1076965 ,1022257 
930882 ,1014939 
1185126 ,987772 
1707621 ,999286 
853227 ,1049540 
725037 ,1048150 
887072 ,1059339 
960097 ,1074921 
969988 ,1038857 
1011288 ,1071321 
1032003 ,1074966 
1083149 ,1047263 
1115522 ,1054991 
944488 ,1048587 
1335571 ,1092287 
1827789 ,1085011 
877229 ,1062978 
735366 ,1063882 
894123 ,1052588 
911378 ,1038471 
1013283 ,1057893 
999778 ,1045788 
1000612 ,1045615 
1116970 ,1063867 
1107537 ,1048487 
953945 ,1047677 
1280469 ,1040240 
1705076 ,1028279 
872513 ,1038575 
721683 ,1036473 
846012 ,1028141 
931692 ,1048528 
960857 ,1026057 
987321 ,1046705 
985112 ,1039821 
