Unadjusted,Seasonally adjusted
4444205,5723655
4934202,6262716
6617864,6087962
6729805,5902305
6756165,5981358
7097549,5938675
6622928,5968243
6257379,5890505
6212066,6151315
5771944,6244662
5733447,6206045
5235975,6056088
4580427,6186590
5202299,6638575
6672741,6224123
7176381,6156341
7248797,6258882
7712201,6587657
7228054,6744507
6996063,6298712
5977268,5928676
5606856,6116894
5994190,6351756
5420017,6322582
4982663,6545421
5082039,6473568
7087022,6439443
7141599,6559679
7684543,6315704
7562030,6465679
7195380,6794840
7600084,6743418
6645241,6588113
6257142,6617872
6352754,6851581
5798780,6993957
5311860,6695326
5168807,6614960
7251054,6808404
7755637,7070230
8706696,7113224
8025907,6933435
7442135,6919254
7804548,7084024
6543111,6776484
6597578,6694627
6217605,6772842
5771607,7113736
5782597,7266194
5698261,7070179
6901392,6973623
8422061,7045988
8156728,6893023
7445564,6769861
7447432,6616508
6808814,6501395
6719960,6649721
6438020,6540880
5485388,6220357
4862789,5621274
4609046,5925747
4464968,5815131
6332194,6007195
6930080,6013771
7251044,6295672
7277015,6309798
7053390,6347607
6754473,6481231
6712147,6532183
6550352,6713812
5765907,6459816
5849008,6647661
4919013,6491677
5156686,6723096
7501822,6822093
7603569,6711261
7521143,6645504
8030943,6745751
7453556,6910607
7333252,6911157
7061286,6914443
6667333,6925251
6783016,7267316
6124452,7087915
5137678,6932093
5327798,6962266
7795102,7011380
7950143,7117356
8134456,7049921
8525994,7261431
7381530,7018994
7817300,7085864
7391150,7274734
7074720,7388362
7145983,7345360
6412971,7647062
5911002,7853547
6150260,7639605
8136243,7619816
8185287,7560740
9178984,7501436
8625109,7514948
8051518,7601169
8331180,7571014
7488732,7524503
7831148,7628986
7428077,7782753
6008152,7527174
6090618,7694060
6018774,7926407
7911641,8011282
9376380,8049819
9954644,8245318
9216610,8318869
9087250,8259114
8794490,8295092
8302457,8284179
8646293,8301201
7859315,8275626
6659934,8257439
6519355,8333896
6404038,8470109
8559982,8514855
10084939,8772436
10642736,9010373
9693966,8819789
10173648,9096285
9399723,9153265
9774235,9238960
9517321,9199262
8373063,9004278
7828272,9357768
6747480,8803400
6771273,8909284
9382685,9145845
10706796,9449560
10949390,9498381
11020596,9683882
10867705,9834252
10340887,9988790
10681389,9991682
10250474,10096884
9674562,10432497
8747468,10306249
8022617,10688791
8519233,10935854
10923608,10396532
12058081,10555010
11788561,10149204
12194556,10573923
11103106,10573584
11579875,10511280
11416089,10933973
10592048,10822845
11195401,11270497
9012717,10994401
8885343,11726132
8575909,11232168
12549233,11635056
12415217,11607304
14282423,11804310
13129082,11498854
12072073,11734560
13153802,11774185
12037692,11613598
12663044,12551529
11316281,11557728
9394601,11739276
9066768,11485830
8858464,11577834
12037119,11774231
12492314,11408668
14531204,11826321
13332502,11793505
12158870,11570362
12850333,11754726
11994389,11813256
12591827,11951134
11338137,11736790
9373814,11933082
9400452,11750624
9260208,12115424
12343759,11951068
13361352,12118292
14897459,12134688
12710784,11752755
13052350,12002980
