Unadjusted,Seasonally adjusted
284014 ,338419 
287854 ,361125 
337537 ,362794 
337756 ,368111 
346835 ,367409 
365634 ,375579 
371246 ,378911 
371983 ,375217 
375196 ,383226 
395928 ,384327 
441247 ,374257 
513340 ,359195 
308077 ,370608 
297527 ,381362 
344678 ,373342 
352833 ,380337 
360706 ,381052 
371273 ,377316 
365088 ,377014 
398810 ,388489 
384964 ,386625 
410164 ,397537 
480835 ,413035 
574148 ,422387 
365838 ,427738 
336536 ,421360 
408905 ,427725 
380765 ,422464 
421795 ,429510 
431847 ,433327 
413460 ,425182 
442476 ,437426 
434079 ,434806 
445099 ,432965 
518984 ,449606 
599076 ,456752 
390969 ,440305 
385578 ,475295 
456317 ,479956 
439688 ,476946 
470175 ,483425 
477481 ,479161 
477282 ,490092 
499651 ,488628 
471971 ,488902 
508718 ,483661 
546893 ,474639 
625440 ,489152 
428218 ,484400 
405420 ,475219 
436462 ,472840 
456826 ,490919 
469400 ,478429 
475505 ,488563 
494570 ,501766 
483666 ,486513 
486961 ,493400 
478842 ,447380 
488912 ,431063 
550031 ,404320 
348873 ,400265 
321641 ,409683 
385477 ,411547 
379827 ,411441 
401374 ,418028 
418485 ,418416 
421582 ,419499 
415536 ,416248 
428215 ,429469 
449664 ,422762 
479698 ,422797 
538771 ,408987 
382618 ,449090 
325185 ,419518 
409965 ,440854 
419131 ,444190 
438285 ,458403 
495069 ,498578 
411279 ,411331 
428570 ,424227 
436003 ,439138 
481342 ,459163 
526790 ,452929 
595685 ,452503 
390293 ,457885 
346776 ,449437 
426892 ,452998 
436936 ,474301 
446071 ,460226 
468070 ,472369 
445785 ,451695 
484925 ,469741 
459795 ,458336 
494617 ,472830 
523363 ,449089 
624035 ,478652 
397862 ,464704 
383845 ,481913 
438723 ,469040 
424780 ,469009 
452104 ,461014 
461380 ,467519 
475889 ,479294 
492224 ,475726 
450623 ,463310 
509211 ,477632 
581320 ,493326 
632508 ,497982 
434374 ,503822 
369637 ,476139 
433456 ,481839 
441787 ,465901 
471724 ,476471 
456974 ,474082 
479506 ,470066 
496365 ,477930 
481634 ,486241 
505961 ,478529 
578071 ,489846 
601727 ,470350 
419490 ,489344 
380089 ,485782 
459760 ,499377 
454651 ,495337 
502674 ,509657 
487444 ,502137 
531996 ,522995 
501919 ,493258 
533864 ,525583 
540204 ,515293 
599555 ,520128 
658570 ,511327 
430036 ,506154 
416766 ,533418 
492085 ,534505 
503895 ,539112 
530957 ,546968 
549656 ,553640 
562448 ,554340 
573503 ,567394 
563080 ,554954 
573532 ,551419 
650047 ,560597 
737066 ,580571 
452685 ,546823 
473944 ,581822 
506082 ,549136 
534820 ,565361 
550272 ,563751 
552740 ,562185 
569795 ,575006 
602577 ,582215 
585606 ,572393 
591401 ,581614 
684085 ,579020 
741509 ,586191 
437112 ,524815 
470119 ,596281 
568696 ,595670 
550661 ,606758 
593106 ,591690 
594994 ,597345 
587068 ,588815 
597313 ,575429 
603178 ,586997 
595056 ,578422 
702400 ,592517 
694804 ,559769 
506576 ,597366 
465108 ,586862 
563593 ,605756 
557820 ,592050 
598335 ,597898 
583267 ,588497 
580982 ,579369 
601288 ,578668 
592072 ,590413 
608727 ,582850 
680338 ,571734 
702911 ,569555 
481786 ,579301 
463047 ,591077 
584955 ,619570 
589946 ,622309 
610484 ,605849 
578173 ,598662 
606127 ,595233 
