Unadjusted,Seasonally adjusted
882172 ,1001569 
853696 ,1044436 
972997 ,1051596 
1000160 ,1069390 
1056395 ,1088051 
1080018 ,1084386 
1129221 ,1090824 
1117653 ,1088692 
1126261 ,1106862 
1168522 ,1108853 
1201850 ,1107846 
1345865 ,1092306 
937412 ,1079144 
880253 ,1109461 
1008190 ,1101945 
1075063 ,1118903 
1078071 ,1109302 
1116798 ,1116546 
1154632 ,1115873 
1181754 ,1137524 
1176973 ,1139730 
1215967 ,1166780 
1266560 ,1162420 
1470881 ,1204925 
1064210 ,1212056 
978472 ,1223149 
1150315 ,1211968 
1121690 ,1208308 
1198687 ,1218331 
1239487 ,1224014 
1249747 ,1221577 
1290788 ,1236608 
1283048 ,1236393 
1280778 ,1233143 
1364845 ,1258060 
1532618 ,1271078 
1124204 ,1261608 
1041035 ,1292858 
1256093 ,1314959 
1237813 ,1340521 
1309972 ,1322558 
1327237 ,1304332 
1367108 ,1338901 
1399492 ,1329487 
1357781 ,1329925 
1389231 ,1331596 
1431126 ,1312420 
1557327 ,1319252 
1193884 ,1331009 
1107375 ,1315724 
1210058 ,1318751 
1272149 ,1344477 
1350250 ,1347270 
1345905 ,1356145 
1431105 ,1390868 
1427129 ,1361790 
1390840 ,1366178 
1336353 ,1263735 
1351377 ,1253920 
1410132 ,1176693 
1058371 ,1176365 
924128 ,1161456 
1101756 ,1174917 
1084480 ,1176652 
1175700 ,1181636 
1188030 ,1181261 
1277015 ,1227913 
1279920 ,1232559 
1278049 ,1238614 
1310201 ,1241866 
1322193 ,1243166 
1469013 ,1232453 
1137733 ,1275291 
982291 ,1237219 
1178215 ,1258253 
1162832 ,1242031 
1239978 ,1259528 
1326660 ,1311298 
1259735 ,1203487 
1265908 ,1215022 
1278563 ,1240971 
1329682 ,1270684 
1356083 ,1255516 
1517731 ,1266111 
1095674 ,1242525 
997320 ,1258369 
1149663 ,1213184 
1198877 ,1284143 
1231402 ,1246476 
1267721 ,1258427 
1273240 ,1226036 
1315531 ,1254099 
1296224 ,1246666 
1303926 ,1267516 
1340173 ,1233381 
1543037 ,1281965 
1104148 ,1254739 
1044272 ,1278854 
1195315 ,1258658 
1154199 ,1266159 
1245820 ,1243840 
1278582 ,1262184 
1312611 ,1279702 
1350929 ,1272833 
1302648 ,1263792 
1299799 ,1262099 
1415471 ,1290901 
1520306 ,1290339 
1173087 ,1319805 
1010311 ,1273553 
1190931 ,1302144 
1213040 ,1273903 
1311980 ,1298565 
1289308 ,1291348 
1338076 ,1290262 
1376837 ,1279822 
1325723 ,1294228 
1326334 ,1285002 
1437113 ,1299761 
1445638 ,1229986 
1131332 ,1277074 
1016935 ,1279453 
1219998 ,1315811 
1222827 ,1319398 
1374503 ,1350193 
1319262 ,1342464 
1458448 ,1400601 
1446653 ,1353529 
1429570 ,1380511 
1393810 ,1357222 
1491481 ,1361892 
1600101 ,1366776 
1162636 ,1310198 
1057165 ,1334641 
1294039 ,1403863 
1321502 ,1419051 
1450174 ,1432036 
1422266 ,1431732 
1497507 ,1438620 
1550636 ,1466986 
1507666 ,1450236 
1494606 ,1448088 
1583141 ,1461144 
1738582 ,1483323 
1259676 ,1443631 
1211724 ,1485407 
1293859 ,1421252 
1462564 ,1521569 
1456308 ,1454023 
1441013 ,1454237 
1495597 ,1444692 
1577601 ,1488444 
1549169 ,1477670 
1529552 ,1512604 
1699488 ,1544785 
1792279 ,1520515 
1257047 ,1456487 
1237078 ,1558223 
1458987 ,1548410 
1444815 ,1554022 
1578602 ,1556816 
1571373 ,1565220 
1591473 ,1538529 
1641583 ,1528851 
1637375 ,1545645 
1565709 ,1545074 
1743935 ,1575574 
1729845 ,1484970 
1341389 ,1547229 
1216381 ,1529318 
1477308 ,1593649 
1492534 ,1571201 
1599731 ,1565793 
1565613 ,1554756 
1613852 ,1561869 
1659114 ,1545153 
1633382 ,1561096 
1540873 ,1514587 
1708641 ,1533110 
1750000 ,1521060 
1338785 ,1550556 
1219917 ,1553465 
1549832 ,1630299 
1549625 ,1644658 
1694148 ,1640330 
1626011 ,1630654 
1670813 ,1624548 
