Unadjusted,Seasonally adjusted
4975621 ,6540470 
5507733 ,7112508 
7440474 ,6990895 
7817974 ,6744641 
7893404 ,6810923 
8187990 ,6759778 
7624785 ,6788635 
7161652 ,6745877 
7044654 ,7009063 
6592105 ,7116468 
6533321 ,7133979 
5940935 ,6967413 
5133701 ,7084741 
5799361 ,7545051 
7476914 ,7123439 
8388396 ,7093365 
8551384 ,7189826 
8911241 ,7509649 
8320025 ,7663815 
7994167 ,7218154 
6873586 ,6861095 
6455597 ,7053835 
6843331 ,7282775 
6155770 ,7277725 
5620066 ,7554349 
5747381 ,7482154 
8031413 ,7473277 
8439893 ,7635409 
9194832 ,7372383 
8957525 ,7539865 
8473760 ,7895269 
8805666 ,7831346 
7669056 ,7668822 
7229966 ,7659665 
7283370 ,7893897 
6561150 ,8007641 
5998691 ,7750629 
5892460 ,7714972 
8251618 ,7940389 
9062331 ,8183008 
10466710 ,8319931 
9520324 ,8088275 
8815987 ,8067581 
9075341 ,8232368 
7568008 ,7891896 
7629596 ,7762660 
7234731 ,7897340 
6653745 ,8320492 
6631849 ,8558244 
6522893 ,8265694 
7855539 ,8137042 
9855060 ,8183683 
9763842 ,8041514 
8878370 ,7925629 
8874651 ,7753342 
8033639 ,7653414 
7854710 ,7837967 
7622818 ,7715154 
6540910 ,7393521 
5744530 ,6713608 
5329663 ,7027170 
5199177 ,6917843 
7252991 ,7083888 
8170138 ,7048973 
8668931 ,7343845 
8632840 ,7377852 
8403966 ,7424817 
7858317 ,7547209 
7779512 ,7615098 
7635546 ,7774415 
6760934 ,7532897 
6778259 ,7776267 
5605404 ,7570960 
5887718 ,7832154 
8588620 ,8064713 
8894327 ,7809333 
8928056 ,7712847 
9465127 ,7860418 
8794527 ,8006269 
8501476 ,8018716 
8133941 ,8022445 
7790331 ,8055116 
7913604 ,8374386 
7036465 ,8212240 
5834671 ,8041570 
6056112 ,8080213 
8750446 ,8102031 
9285676 ,8275244 
9652319 ,8197903 
9999241 ,8437021 
8775132 ,8190901 
9128937 ,8278461 
8539680 ,8455908 
8271925 ,8599081 
8427231 ,8584230 
7366402 ,8845209 
6667592 ,9024078 
6941878 ,8802487 
9182645 ,8841026 
9542281 ,8779472 
10797853 ,8656394 
10052437 ,8665119 
9485690 ,8800548 
9622986 ,8734795 
8561430 ,8682515 
9097082 ,8819221 
8641040 ,8975338 
6905451 ,8717368 
6922228 ,8939917 
6785456 ,9116845 
8917765 ,9241743 
10775375 ,9262564 
11757311 ,9540369 
10723898 ,9586778 
10679936 ,9560595 
10212058 ,9605078 
9485788 ,9562462 
9986667 ,9549972 
9181427 ,9566444 
7658903 ,9554045 
7382520 ,9619142 
7226403 ,9740296 
9585049 ,9770467 
11533638 ,10016771 
12398459 ,10304454 
11282692 ,10146919 
11799450 ,10423269 
10800495 ,10475484 
11098717 ,10600120 
10976555 ,10558446 
9752251 ,10392199 
8889529 ,10678189 
7609601 ,10116038 
7676455 ,10301486 
10526201 ,10499781 
12248806 ,10787675 
12724542 ,10835432 
12717650 ,11026182 
12545424 ,11218850 
11783009 ,11375290 
12067500 ,11394799 
11716842 ,11499103 
11020561 ,11780459 
9826917 ,11628414 
8903406 ,12077080 
9531673 ,12441824 
12179687 ,11843321 
13743178 ,12004592 
13713256 ,11558542 
14042314 ,12020933 
12733969 ,11992019 
13212205 ,11987880 
12885428 ,12436335 
12106179 ,12335714 
12668979 ,12694038 
10302779 ,12630777 
9902585 ,13298974 
9621067 ,12844319 
13938543 ,13229263 
14287828 ,13277267 
16562192 ,13424558 
15234165 ,13154503 
13859559 ,13328627 
14879371 ,13346152 
13602261 ,13250217 
14371388 ,14195135 
13102242 ,13271529 
10712257 ,13452913 
10215325 ,13179987 
9960604 ,13295937 
13471103 ,13478620 
14430270 ,13100373 
17038375 ,13612521 
15456197 ,13513176 
14180169 ,13335819 
14754688 ,13520475 
13559764 ,13525002 
14471089 ,13699551 
13127451 ,13457033 
10622164 ,13568703 
10637103 ,13556965 
10343541 ,13814834 
13885356 ,13793629 
15392240 ,13850257 
17359567 ,13890183 
14843233 ,13523111 
15068930 ,13731914 
