Unadjusted,Seasonally adjusted
"250,711","470,538"
"325,642","498,083"
"503,388","548,415"
"726,660","494,283"
"776,407","476,680"
"727,762","472,422"
"640,652","468,308"
"528,524","468,330"
"444,544","480,600"
"374,602","488,334"
"339,420","566,340"
"341,564","547,544"
"265,032","520,855"
"338,891","540,695"
"480,648","535,773"
"809,825","555,743"
"904,817","557,140"
"804,932","532,569"
"702,917","523,863"
"600,949","525,299"
"469,927","521,526"
"400,988","545,779"
"330,656","531,322"
"324,913","543,929"
"304,091","592,117"
"362,032","579,816"
"559,620","604,093"
"865,422","636,262"
"1,015,820","611,899"
"933,951","625,702"
"830,793","637,557"
"746,055","639,151"
"579,877","648,181"
"458,431","613,333"
"380,011","610,447"
"346,350","583,895"
"330,193","626,987"
"393,399","632,445"
"591,529","671,126"
"869,309","668,414"
"1,238,751","743,348"
"1,037,272","705,331"
"922,891","696,069"
"822,885","698,302"
"585,937","662,631"
"496,270","639,431"
"409,323","655,716"
"411,150","709,106"
"422,590","780,880"
"456,511","690,038"
"553,300","664,477"
"901,449","651,234"
"1,083,752","664,870"
"945,592","646,038"
"909,752","634,999"
"750,876","646,788"
"608,169","674,462"
"540,855","655,948"
"405,739","647,643"
"359,882","581,090"
"319,135","598,631"
"403,018","624,477"
"516,602","604,006"
"735,844","556,086"
"894,207","550,916"
"838,199","561,526"
"839,684","570,558"
"627,423","551,848"
"539,407","572,439"
"436,582","543,149"
"357,713","566,272"
"351,697","559,605"
"297,394","570,036"
"369,093","580,764"
"590,707","682,342"
"719,660","566,204"
"898,369","576,229"
"907,547","599,509"
"836,371","585,491"
"663,520","577,882"
"531,290","569,307"
"471,532","590,452"
"335,588","518,315"
"366,094","570,634"
"282,673","552,424"
"352,820","564,304"
"458,544","531,496"
"711,934","577,814"
"900,582","572,119"
"891,280","588,244"
"843,527","590,771"
"743,093","618,942"
"557,391","596,257"
"495,705","622,557"
"415,295","611,413"
"380,665","607,167"
"304,628","581,625"
"382,693","584,702"
"529,802","628,736"
"745,821","633,615"
"988,578","603,220"
"863,326","582,149"
"867,695","614,516"
"709,444","575,620"
"533,191","594,155"
"496,566","592,691"
"415,522","610,259"
"362,071","598,049"
"351,893","644,847"
"359,496","588,315"
"512,224","621,846"
"724,092","623,363"
"1,102,422","668,228"
"927,998","650,296"
"960,934","669,102"
"799,061","672,079"
"568,115","625,857"
"519,536","612,461"
"429,307","632,342"
"398,126","644,466"
"354,573","631,475"
"378,380","612,540"
"498,902","614,663"
"721,284","606,188"
"1,017,478","631,766"
"955,036","657,670"
"951,077","661,971"
"785,223","663,236"
"645,023","685,102"
"602,093","687,848"
"459,866","684,248"
"433,441","665,669"
"363,140","658,746"
"447,200","717,918"
"571,512","682,262"
"780,083","660,510"
"1,078,910","691,236"
"1,025,150","684,815"
"1,006,719","715,243"
"824,645","713,532"
"713,409","741,394"
"627,097","741,933"
"486,608","692,315"
"440,382","664,949"
"391,852","716,224"
"540,906","826,262"
"649,754","754,424"
"871,592","743,831"
"1,178,974","733,051"
"1,152,536","763,355"
"991,308","744,315"
"959,265","791,659"
"791,105","814,830"
"672,009","806,504"
"588,068","792,490"
"581,443","881,866"
"485,644","851,158"
"543,233","865,759"
"716,202","827,520"
"1,028,448","886,633"
"1,363,030","828,684"
"1,275,924","846,481"
"1,040,233","790,524"
"934,547","778,308"
"787,453","836,698"
"706,191","833,019"
"671,275","891,901"
"579,507","895,002"
"504,237","857,241"
"541,262","880,741"
"739,025","885,717"
"1,037,538","875,080"
"1,455,556","895,849"
"1,252,144","862,334"
"1,187,639","897,709"
"1,051,043","890,915"
"755,590","836,442"
"741,552","866,131"
"691,733","910,102"
"555,563","854,620"
"534,128","910,231"
"501,032","827,437"
"797,131","951,009"
"1,033,688","854,041"
"1,424,565","871,408"
"1,259,185","879,907"
"1,153,890","859,656"
