,Retail trade  [44-45],,Motor vehicle and parts dealers  [441],,Automobile dealers  [4411],,Other motor vehicle dealers  [4412],,"Automotive parts, accessories and tire stores  [4413]",,Furniture and home furnishings stores  [442],,Furniture stores  [4421],,Home furnishings stores  [4422],,Electronics and appliance stores  [443],,Building material and garden equipment and supplies dealers  [444],,Food and beverage stores  [445],,Grocery stores  [4451],,Specialty food stores  [4452],,"Beer, wine and liquor stores  [4453]",,Health and personal care stores  [446],,Gasoline stations  [447],,Clothing and clothing accessories stores  [448],,Clothing stores  [4481],,Shoe stores  [4482],,"Jewellery, luggage and leather goods stores  [4483]",,"Sporting goods, hobby, book and music stores  [451]",,General merchandise stores  [452],,Miscellaneous store retailers  [453],
Reference period,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted,Unadjusted,Seasonally adjusted
4-Jan,"23,778,728","27,935,993","4,975,621","6,540,470","4,444,205","5,723,655","250,711","470,538","280,705","346,276","882,172","1,001,569","598,158","663,149","284,014","338,419","808,842","893,589","1,129,499","1,635,894","6,608,592","6,840,155","5,494,535","5,451,108","214,305","249,816","899,753","1,139,232","1,823,803","1,866,342","2,370,253","2,718,667","1,242,784","1,633,856","960,576","1,247,699","148,065","199,029","134,143","187,128","660,214","724,156","2,648,234","3,338,358","628,714","742,938"
4-Feb,"23,008,594","28,719,948","5,507,733","7,112,508","4,934,202","6,262,716","325,642","498,083","247,888","351,709","853,696","1,044,436","565,842","683,311","287,854","361,125","719,300","899,562","1,091,473","1,670,244","5,933,927","6,815,245","4,837,660","5,414,996","229,116","265,245","867,151","1,135,003","1,738,686","1,861,370","2,319,816","2,745,826","1,158,379","1,661,123","877,965","1,281,922","129,116","202,878","151,297","176,323","541,659","720,343","2,524,296","3,429,203","619,631","760,088"
4-Mar,"26,967,793","28,689,514","7,440,474","6,990,895","6,617,864","6,087,962","503,388","548,415","319,222","354,518","972,997","1,051,596","635,460","688,801","337,537","362,794","822,713","913,696","1,407,797","1,743,752","6,330,881","6,887,719","5,107,575","5,451,755","247,743","269,978","975,563","1,165,987","1,848,571","1,860,220","2,528,679","2,665,130","1,392,965","1,661,206","1,095,589","1,281,310","170,625","205,639","126,751","174,257","606,110","711,162","2,891,595","3,442,165","725,010","761,975"
4-Apr,"28,592,026","28,254,086","7,817,974","6,744,641","6,729,805","5,902,305","726,660","494,283","361,509","348,053","1,000,160","1,069,390","662,403","701,279","337,756","368,111","760,285","903,646","1,730,586","1,718,920","6,680,245","6,781,836","5,364,622","5,395,616","279,313","273,395","1,036,310","1,112,825","1,836,463","1,877,579","2,525,638","2,575,841","1,572,851","1,650,478","1,226,270","1,275,215","208,549","200,823","138,031","174,440","655,854","705,117","3,294,099","3,445,377","717,873","781,260"
4-May,"30,479,247","28,554,094","7,893,404","6,810,923","6,756,165","5,981,358","776,407","476,680","360,832","352,885","1,056,395","1,088,051","709,560","720,642","346,835","367,409","795,417","938,072","2,180,485","1,728,313","7,036,409","6,818,651","5,582,669","5,399,281","290,478","275,148","1,163,263","1,144,223","1,858,971","1,873,793","2,938,924","2,685,451","1,701,509","1,680,703","1,308,329","1,295,031","225,147","207,694","168,034","177,978","652,809","692,436","3,577,396","3,463,534","787,527","774,167"
4-Jun,"30,711,705","28,550,528","8,187,990","6,759,778","7,097,549","5,938,675","727,762","472,422","362,680","348,681","1,080,018","1,084,386","714,384","708,807","365,634","375,579","809,904","918,068","2,234,343","1,750,440","6,939,964","6,869,102","5,478,497","5,449,368","299,208","283,006","1,162,259","1,136,728","1,885,449","1,900,004","2,910,526","2,687,884","1,613,407","1,646,383","1,237,837","1,258,870","207,180","204,399","168,390","183,113","674,141","714,422","3,568,797","3,464,372","807,165","755,690"
4-Jul,"30,898,334","28,616,168","7,624,785","6,788,635","6,622,928","5,968,243","640,652","468,308","361,206","352,084","1,129,221","1,090,824","757,976","711,913","371,246","378,911","855,533","924,779","2,084,717","1,761,055","7,704,711","6,832,490","5,961,651","5,395,830","312,161","285,560","1,430,899","1,151,101","1,858,440","1,903,550","2,993,900","2,634,762","1,616,768","1,697,106","1,251,684","1,311,510","200,476","206,548","164,608","179,048","695,925","713,141","3,573,474","3,495,959","760,860","773,866"
4-Aug,"29,535,183","28,836,665","7,161,652","6,745,877","6,257,379","5,890,505","528,524","468,330","375,748","387,042","1,117,653","1,088,692","745,669","713,475","371,983","375,217","909,767","941,803","1,948,485","1,766,053","6,927,060","6,971,428","5,408,011","5,526,196","296,718","290,596","1,222,332","1,154,636","1,864,687","1,921,548","2,982,171","2,630,570","1,668,658","1,726,994","1,294,562","1,347,158","208,060","200,967","166,037","178,869","730,909","733,174","3,397,922","3,528,677","826,219","781,851"
4-Sep,"29,245,397","29,243,662","7,044,654","7,009,063","6,212,066","6,151,315","444,544","480,600","388,044","377,148","1,126,261","1,106,862","751,065","723,637","375,196","383,226","956,882","970,945","1,957,802","1,776,992","6,934,824","7,058,797","5,498,455","5,578,971","281,584","289,255","1,154,784","1,190,571","1,873,607","1,905,043","2,825,919","2,743,478","1,707,477","1,705,304","1,343,409","1,326,722","215,061","198,602","149,008","179,980","731,975","718,293","3,224,767","3,470,713","861,229","778,173"
4-Oct,"29,445,711","29,561,177","6,592,105","7,116,468","5,771,944","6,244,662","374,602","488,334","445,560","383,473","1,168,522","1,108,853","772,595","724,526","395,928","384,327","921,232","975,901","1,916,042","1,807,074","7,135,522","7,032,268","5,669,989","5,571,380","283,413","285,533","1,182,120","1,175,355","1,933,347","1,929,041","2,990,853","2,905,568","1,764,559","1,697,112","1,398,389","1,319,281","218,925","196,091","147,245","181,740","647,863","689,964","3,602,537","3,531,328","773,129","767,599"
4-Nov,"29,232,659","29,901,036","6,533,321","7,133,979","5,733,447","6,206,045","339,420","566,340","460,454","361,594","1,201,850","1,107,846","760,603","733,588","441,247","374,257","1,039,635","993,620","1,792,968","1,803,608","6,713,505","7,186,855","5,367,287","5,726,130","263,861","286,849","1,082,357","1,173,876","1,948,369","1,940,697","2,760,156","2,993,885","1,827,698","1,696,620","1,448,012","1,326,848","202,301","188,670","177,384","181,102","743,326","721,673","3,937,907","3,546,136","733,923","776,116"
4-Dec,"34,561,103","29,593,609","5,940,935","6,967,413","5,235,975","6,056,088","341,564","547,544","363,396","363,781","1,345,865","1,092,306","832,525","733,112","513,340","359,195","1,872,248","998,077","1,506,701","1,818,555","8,209,803","7,060,894","6,219,238","5,629,559","371,556","315,074","1,619,010","1,116,260","2,305,830","1,937,037","2,773,923","2,933,697","2,920,649","1,730,819","2,171,263","1,342,320","278,821","200,985","470,566","187,514","1,241,839","738,741","5,448,684","3,533,886","994,627","782,185"
5-Jan,"24,498,615","29,888,781","5,133,701","7,084,741","4,580,427","6,186,590","265,032","520,855","288,242","377,295","937,412","1,079,144","629,335","708,537","308,077","370,608","865,736","989,700","1,202,435","1,796,061","6,569,570","7,243,140","5,506,063","5,838,269","232,452","275,367","831,055","1,129,505","1,856,942","1,940,862","2,634,531","3,015,813","1,260,790","1,718,831","997,001","1,342,284","145,253","204,417","118,536","172,130","634,840","717,143","2,774,537","3,543,481","628,122","759,865"
5-Feb,"24,028,226","30,460,620","5,799,361","7,545,051","5,202,299","6,638,575","338,891","540,695","258,171","365,781","880,253","1,109,461","582,726","728,099","297,527","381,362","790,719","1,003,689","1,190,131","1,841,024","6,127,543","7,157,091","5,002,593","5,686,450","244,034","288,578","880,916","1,182,063","1,779,853","1,944,153","2,560,185","3,065,435","1,189,324","1,743,743","909,507","1,354,740","130,720","210,178","149,097","178,824","528,083","720,566","2,558,370","3,549,180","624,405","781,227"
