Unadjusted,Seasonally adjusted
23778728,27935993
23008594,28719948
26967793,28689514
28592026,28254086
30479247,28554094
30711705,28550528
30898334,28616168
29535183,28836665
29245397,29243662
29445711,29561177
29232659,29901036
34561103,29593609
24498615,29888781
24028226,30460620
28600602,30006264
30600811,29940271
31948565,29935878
32967426,30590992
32620077,30800241
32025283,30647393
30914826,30600008
30241532,30887481
30828069,31012789
36726743,31230056
25993203,31747679
25128165,31744450
30760061,31871717
32106585,32354405
34894460,32048264
35049112,32242363
34341547,33040218
35045180,33007575
33056559,32492838
31830349,32595465
32663281,32814138
38605976,33515367
27777968,33221023
26548520,33466188
32818504,33910296
33621240,34385868
38434319,34789277
37555708,34436278
35635889,34430726
36978090,34725483
34057842,34341226
34070363,34305870
35091406,34958995
40006665,35625285
30525699,35933156
29418898,35526909
32925876,35530142
36272111,35914167
39778972,36006888
37842321,36400129
38632038,36403867
37775417,36137537
36138751,36390521
36158245,35747571
34230901,34661690
38256712,33303365
29192654,33790507
26804723,33861903
31356949,33838239
33942769,33932693
37316515,34366762
36865690,34752611
37191480,34734947
36049418,34958551
35537357,35271163
36133694,35442041
34354756,35094920
40969765,35671435
30668321,36091102
28632551,36048207
34967182,36872345
36469949,36394220
38424455,36050622
38973462,36308653
38932294,36357428
37395330,36453361
36923390,36569715
37014326,36837126
37408825,37538580
43147947,37436674
31191594,37311614
29797949,37417919
36099866,37624315
38035760,37883034
40046516,37736236
40839556,38120856
39832282,37897036
39541248,38004303
38877263,38283380
38203872,38583801
39174736,38694229
45089701,39173620
32299560,38958802
32037162,38861395
37882518,39198162
37740840,38843751
42558147,38791914
41765337,38764063
40117110,38857340
41307128,38946468
39060675,39061424
39497273,39237267
40090004,39203945
43444637,39075859
33607336,39520274
31686766,39773650
37632780,39905175
39504016,39719107
44707357,40395039
42299543,40100664
42565931,40573313
43391178,40890989
40327899,40785782
41747250,40918659
42062766,40931618
44940706,40959258
35181491,41187689
33120378,41515314
38764006,41557139
42142874,42081778
46760489,42178396
44550964,42817867
45699406,42983194
44765234,42934766
43448141,43140793
44236013,43066189
43386732,42943086
47291686,42941204
35248015,41481239
33625076,42356061
40025924,43051507
42989382,42971511
47439687,43227767
46376329,43732323
47151990,44001390
45655167,44244268
44907164,44206259
45477857,44114237
44630000,44765527
49078191,44452692
37415147,45132669
36815980,45691159
42763737,45042056
46155952,45593722
48783412,45163844
48892480,45467095
47842336,45388100
47790528,45642230
47059911,46157092
46455078,46509164
48043147,46838497
51693611,47085691
39636308,48507828
38074136,47998966
46588809,48392740
48423073,49026144
54057557,48817262
52905969,48762398
50974136,49034886
52091210,48952885
50105018,49034089
50626368,50389734
51723467,50145631
53621980,49765468
41458023,49760687
39461402,49697437
47831646,50005289
48611472,49633602
57278465,50974002
55084576,50811616
52884347,50878761
54231485,50960500
51134289,51066944
52392891,51218374
52267062,50502890
53298371,50423927
42252773,50249498
40157195,50741964
48711547,51409039
50994131,51470797
57836921,51344257
54460659,51296380
54483841,51478915
