"","variance.1","variance.2"
"1",2.4,0.8
"2",3,0.8
"3",2.8,0.8
"4",4.8,2.6
"5",2,1
"6",2.6,0.8
"7",2.8,1
"8",2.8,1
"9",2.2,0.6
"10",4.2,1.4
"11",9.2,3.4
"12",2.4,0.6
"13",2.8,0.8
"14",1.8,1
"15",3.8,1.2
"16",3,1
"17",2.8,1
"18",2.2,0.8
"19",4.4,1.8
"20",3.4,1
"21",4.2,1.2
"22",3.2,1.4
"23",1.8,1
"24",2.8,0.8
"25",2.2,0.6
"26",2,0.6
"27",2,1.6
"28",2.4,0.8
"29",3.2,1.4
"30",4,1.4
"31",2.4,1.2
"32",3.4,0.8
"33",5.4,1.8
"34",4,0.8
"35",2.8,0.8
"36",3.4,1.2
"37",3.2,1.8
"38",1.8,0.6
"39",5.2,3
"40",3.6,1.4
"41",2.4,0.8
"42",2.2,0.8
"43",2.8,1.4
"44",4,2.2
"45",2.6,1
"46",3.4,1.2
"47",3.6,1
"48",2.2,1
"49",2.6,1
"50",4.8,3
"51",3.4,1.2
"52",2.6,0.6
"53",2.6,0.6
"54",2.6,1
"55",2.4,1
"56",2.4,0.6
"57",2.2,0.8
"58",3.2,1
"59",4,1.2
"60",2,1
"61",5.2,3
"62",2,0.8
"63",9,2.6
"64",2.2,0.6
"65",3,1.8
"66",3,0.6
"67",4.8,2
"68",2.4,0.8
"69",5.2,1.8
"70",2.6,0.8
"71",3.2,1
"72",3.6,1.4
"73",4.2,1.8
"74",1.8,0.4
"75",3.2,1
"76",3.6,1.4
"77",2.2,1.6
"78",2.2,0.8
"79",2.4,1.2
"80",3.6,2.8
"81",2.4,0.8
"82",2.6,1
"83",2.4,1.4
"84",2.2,0.6
"85",2.8,1.2
"86",4,1.2
"87",2.2,1
"88",1.8,0.6
"89",2.4,0.4
"90",2.2,1
"91",2,1
"92",2.4,0.6
"93",1.8,0.4
"94",4.2,1.4
"95",2.8,1
"96",2.6,0.6
"97",2.2,0.8
"98",4.4,2
"99",4,2.4
"100",7.6,3.8
