"","variance.1","variance.2"
"1",2.4,0.8
"2",2,0.8
"3",2.2,1
"4",2.6,0.8
"5",2.6,0.8
"6",2.8,1
"7",1.6,2.2
"8",4,1.4
"9",3,1
"10",2.4,1.6
"11",1.2,12.6
"12",2.6,1.2
"13",5.4,14.4
"14",2,1.4
"15",2.2,1.4
"16",4,1.2
"17",1.8,2.2
"18",1.8,1.6
"19",2.6,0.8
"20",2,1
"21",3,3.6
"22",2.4,20
"23",2,0.8
"24",1.6,2.4
"25",2.4,0.8
"26",1.6,11.4
"27",2.2,0.8
"28",1.6,1.2
"29",1.8,1.2
"30",2.2,1.2
"31",2.2,1.6
"32",1.4,1
"33",2.4,1.6
"34",11.2,6.8
"35",2.8,2.4
"36",1.8,0.8
"37",2.2,0.8
"38",2.2,0.6
"39",2.4,0.6
"40",2.2,2.6
"41",3,1.2
"42",2.2,1.2
"43",2,1.6
"44",2.4,1
"45",2.8,1
"46",3.6,1.4
"47",1.8,4
"48",2.4,1.8
"49",2.2,0.6
"50",1.6,1.6
"51",2,1.2
"52",2.2,1
"53",3.2,1
"54",4.2,1.6
"55",2,1.4
"56",1.8,0.8
"57",2.4,0.8
"58",1.8,0.6
"59",2.6,2.4
"60",2,1
"61",2,0.6
"62",5.2,2.6
"63",2.6,0.8
"64",2.6,1.8
"65",2.4,1.2
"66",2.4,1
"67",2,0.6
"68",2,1
"69",1.6,0.6
"70",3,0.8
"71",2.2,14.8
"72",2.6,1
"73",1.4,0.8
"74",2,0.6
"75",2.8,0.8
"76",2.2,1.4
"77",1.6,1.6
"78",2.4,1.8
"79",1.8,0.8
"80",1.8,1.8
"81",4.6,6
"82",1.6,1
"83",2,1
"84",1.8,1
"85",1.8,7.6
"86",2.4,1
"87",2.2,0.6
"88",2.4,2.4
"89",3,1
"90",2,2
"91",4.8,2.2
"92",1.8,1.6
"93",2.2,0.8
"94",1.2,2
"95",1.8,0.6
"96",2.6,0.8
"97",1.4,1.4
"98",2.4,0.6
"99",1.6,1.4
"100",2.4,2.6
