"","variance.1","variance.2"
"1",1.6,2.2
"2",2.6,1.2
"3",2.2,0.6
"4",2.2,0.6
"5",1.4,1.6
"6",2.4,1.6
"7",1.4,3.8
"8",4.8,2.2
"9",1.6,0.8
"10",2.2,1.2
"11",2,0.6
"12",2.2,1.2
"13",2.2,0.6
"14",1.6,1.6
"15",2,0.8
"16",1.8,1.4
"17",2,0.8
"18",2.8,0.8
"19",2.4,1.6
"20",2.6,0.6
"21",3,1
"22",2,3
"23",2,1
"24",1.6,0.6
"25",2.2,0.8
"26",2.2,0.8
"27",1.8,0.8
"28",3.4,2.2
"29",2,1
"30",1.6,0.6
"31",2.4,0.8
"32",2,0.8
"33",1.4,1.6
"34",2.6,0.6
"35",2.4,1.2
"36",3,1
"37",2,0.8
"38",2.6,0.6
"39",3.4,5.8
"40",1.8,1.2
"41",1.2,3
"42",2.4,1.4
"43",2,1
"44",4,3.2
"45",2,0.8
"46",2.2,1
"47",2.8,1
"48",3.4,2
"49",1.4,1.2
"50",1.8,2
"51",2.8,1.4
"52",2.2,0.6
"53",4,3.4
"54",2.2,1.4
"55",1.6,0.8
"56",1.6,0.8
"57",3,0.8
"58",2.2,1.4
"59",2.8,1
"60",1.6,1
"61",1.6,0.8
"62",1.8,1.4
"63",4.8,3.8
"64",3.6,1.2
"65",2.6,1.6
"66",2.4,1.2
"67",2.2,1.2
"68",2.2,2.8
"69",4.6,2
"70",3.4,1.6
"71",3.8,1.2
"72",2.2,1.6
"73",2.4,1
"74",4,4
"75",3,0.8
"76",2.4,1
"77",2.6,0.6
"78",2.6,1
"79",2.2,1
"80",2,0.6
"81",2.2,1
"82",2.2,0.6
"83",2,1.6
"84",1.8,0.8
"85",2.6,0.6
"86",1,20
"87",1.4,2.6
"88",2.2,0.8
"89",1.6,12
"90",2,1.2
"91",1.6,2
"92",2.4,0.8
"93",1.2,2.8
"94",1.4,1.2
"95",2.2,1.4
"96",1.8,1
"97",1.4,1
"98",1.4,1.4
"99",2,1
"100",4.2,2.6
