"","variance.1","variance.2"
"1",3.1,1.7
"2",5.6,2.6
"3",3.4,0.8
"4",2.4,1.5
"5",8.4,10
"6",6.7,10
"7",3.5,2
"8",5.1,2.4
"9",5.3,10
"10",7,5.8
"11",3.6,4.9
"12",2.5,2.3
"13",3,1.7
"14",6.1,1.6
"15",4.6,2.6
"16",4.3,10
"17",4.5,1.5
"18",4.8,3.7
"19",10,5.1
"20",4.2,0.7
"21",3.2,1.1
"22",3.5,2.9
"23",4,4.6
"24",4.9,4.2
"25",5.9,6.8
"26",10,10
"27",0.9,10
"28",7.1,7
"29",10,6.3
"30",10,10
"31",7.4,3.6
"32",1.1,10
"33",3.1,1.3
"34",6.9,10
"35",3,1.3
"36",3.7,2.9
"37",7.2,3
"38",8.1,4.2
"39",2.3,0.7
"40",5.8,2
"41",3.6,1.5
"42",6,4.8
"43",4.9,2.5
"44",7.8,10
"45",2.3,1.5
"46",7.6,10
"47",1.9,2
"48",10,9.3
"49",4.7,10
"50",2.6,1.6
"51",10,3.2
"52",10,10
"53",7.2,10
"54",5.4,3.5
"55",3.5,1.2
"56",7.2,4.3
"57",2.6,0.9
"58",9.5,10
"59",4.5,1.4
"60",10,10
"61",9.3,3
"62",4.5,2.3
"63",7.2,2.6
"64",3.9,1.3
"65",5.9,2.1
"66",3.2,10
"67",2.3,10
"68",9.7,8.8
"69",5.2,8.7
"70",3,10
"71",7.4,10
"72",5.4,3.2
"73",10,10
"74",2.9,10
"75",3.9,10
"76",6,3.2
"77",4.9,3.5
"78",10,10
"79",3.9,1
"80",2.6,1.1
"81",5,10
"82",2.5,2.6
"83",0.9,10
"84",4.6,1.8
"85",10,10
"86",5.2,3.6
"87",2.7,1.2
"88",2.8,10
"89",4.1,2.5
"90",2.6,1.1
"91",7,6.5
"92",8,10
"93",3.2,1.1
"94",5.8,1.1
"95",10,10
"96",6.6,5.5
"97",3,1.4
"98",4.6,1.3
"99",3.6,10
"100",3.3,2.9
