"","variance.1","variance.2"
"1",3.6,1.2
"2",2.4,2.6
"3",4,1.6
"4",2.6,0.6
"5",4.4,1.4
"6",3,1.6
"7",4,6.8
"8",2,3.4
"9",1.8,0.8
"10",2.2,0.6
"11",1.2,3.4
"12",6,2.4
"13",6.4,5.6
"14",2,3.4
"15",4,1
"16",8.2,10.4
"17",3.2,1
"18",3.2,1
"19",1.8,0.6
"20",2.6,1.4
"21",2,0.6
"22",1.4,0.6
"23",1.8,1.8
"24",1.4,2.2
"25",7,4.8
"26",2,0.6
"27",1.8,1.2
"28",2.8,4.4
"29",6.6,6.4
"30",1.8,1.8
"31",2.2,1.2
"32",3.4,1
"33",1.8,1.4
"34",2.8,0.8
"35",2.6,7.6
"36",2.4,1.2
"37",3.2,20
"38",2.2,0.8
"39",2.4,0.8
"40",2.6,1
"41",2.8,1.2
"42",2.8,1.2
"43",4.8,1
"44",3.2,2.2
"45",2.6,1
"46",5.2,2.2
"47",2.8,0.8
"48",2.6,2.2
"49",8.8,6.2
"50",1.8,0.8
"51",1.8,1.2
"52",2.6,0.8
"53",2.2,0.6
"54",4.2,2.8
"55",2.4,1
"56",2.6,2
"57",5,1.4
"58",3,1.4
"59",2,0.8
"60",2.8,1
"61",2,1
"62",2,0.8
"63",2.2,1
"64",2.8,1.8
"65",3,2.2
"66",2,1.2
"67",2.8,0.6
"68",2.2,0.8
"69",2.4,0.6
"70",1.4,5.4
"71",3.2,2.2
"72",2.4,1.4
"73",1.2,1.8
"74",3.4,1
"75",2.6,1
"76",1.6,1.6
"77",2,0.8
"78",2,0.8
"79",5.2,1.4
"80",1.8,0.8
"81",1.8,0.8
"82",4.2,2.4
"83",2,0.6
"84",2.2,1.2
"85",2.6,0.6
"86",1.8,2.6
"87",2.2,0.8
"88",4.6,1.4
"89",1.8,0.8
"90",1.4,4.2
"91",2.6,2.6
"92",3.8,2.4
"93",3,0.8
"94",9.8,10.2
"95",2.4,4
"96",2.4,20
"97",1.6,10.8
"98",2.6,2.8
"99",3,2
"100",3.4,1.6
