"","c1","c2","Error"
"1",1,1,18167138056692.4
"2",1,10,18167138056692.4
"3",1,100,18167138056692.4
"4",1,1000,18167138056692.4
"5",1,10000,18167138041680.9
"6",1,1e+05,18167138107748.4
"7",1,1e+06,18167141215349.2
"8",1,1e+07,18166914462323.1
"9",1,1e+08,18167058620410.3
"10",1,1e+09,18145327613728
"11",10,1,18167138056692.4
"12",10,10,18167138056692.4
"13",10,100,18167138056692.4
"14",10,1000,18167138056692.4
"15",10,10000,18167138041680.9
"16",10,1e+05,18167138107748.4
"17",10,1e+06,18167141215349.2
"18",10,1e+07,18166914462323.1
"19",10,1e+08,18167058620410.3
"20",10,1e+09,18145327613728
"21",100,1,18167138056692.4
"22",100,10,18167138056692.4
"23",100,100,18167138056692.4
"24",100,1000,18167138056692.4
"25",100,10000,18167138041680.9
"26",100,1e+05,18167138107748.4
"27",100,1e+06,18167141215349.2
"28",100,1e+07,18166914462323.1
"29",100,1e+08,18167058620410.3
"30",100,1e+09,18145327613728
"31",1000,1,18167138056692.4
"32",1000,10,18167138056692.4
"33",1000,100,18167138056692.4
"34",1000,1000,18167138056692.4
"35",1000,10000,18167138041680.9
"36",1000,1e+05,18167138107748.4
"37",1000,1e+06,18167141215349.2
"38",1000,1e+07,18166914462323.1
"39",1000,1e+08,18167058620410.3
"40",1000,1e+09,18145327613728
"41",10000,1,18167138249715.1
"42",10000,10,18167138249715.1
"43",10000,100,18167138249715.1
"44",10000,1000,18167138249715.1
"45",10000,10000,18167138249715.1
"46",10000,1e+05,18167137941001.6
"47",10000,1e+06,18167141215349.2
"48",10000,1e+07,18166914462323.1
"49",10000,1e+08,18167058620410.3
"50",10000,1e+09,18145327613728
"51",1e+05,1,18167141312183.3
"52",1e+05,10,18167141312183.3
"53",1e+05,100,18167141312183.3
"54",1e+05,1000,18167141312183.3
"55",1e+05,10000,18167141312183.3
"56",1e+05,1e+05,18167138736119.5
"57",1e+05,1e+06,18167138010027.3
"58",1e+05,1e+07,18166900862488
"59",1e+05,1e+08,18167045020575.3
"60",1e+05,1e+09,18145314013892.9
"61",1e+06,1,18167141312183.3
"62",1e+06,10,18167141312183.3
"63",1e+06,100,18167141312183.3
"64",1e+06,1000,18167141312183.3
"65",1e+06,10000,18167141312183.3
"66",1e+06,1e+05,18167140536344.5
"67",1e+06,1e+06,18167139820208.7
"68",1e+06,1e+07,18166899704940.5
"69",1e+06,1e+08,18167043863027.8
"70",1e+06,1e+09,18145312856345.4
"71",1e+07,1,18167105010140.7
"72",1e+07,10,18167105010140.7
"73",1e+07,100,18167105010140.7
"74",1e+07,1000,18167105010140.7
"75",1e+07,10000,18167105010140.7
"76",1e+07,1e+05,18167104234301.8
"77",1e+07,1e+06,18167103518166.1
"78",1e+07,1e+07,18166926608846.7
"79",1e+07,1e+08,18167043863027.8
"80",1e+07,1e+09,18145312856345.4
"81",1e+08,1,18171137201156.9
"82",1e+08,10,18171137201156.9
"83",1e+08,100,18171137201156.9
"84",1e+08,1000,18171137201156.9
"85",1e+08,10000,18171137201156.9
"86",1e+08,1e+05,18171136425318.1
"87",1e+08,1e+06,18171135709182.4
"88",1e+08,1e+07,18171135961751.7
"89",1e+08,1e+08,18166785511618.1
"90",1e+08,1e+09,18142595972661.6
"91",1e+09,1,18192826347898.1
"92",1e+09,10,18192826347898.1
"93",1e+09,100,18192826347898.1
"94",1e+09,1000,18192826347898.1
"95",1e+09,10000,18192826347898.1
"96",1e+09,1e+05,18192825572059.2
"97",1e+09,1e+06,18192824855923.5
"98",1e+09,1e+07,18192825108492.9
"99",1e+09,1e+08,18191575580560
"100",1e+09,1e+09,18161313500129.6
