"","c1","c2","Error"
"1",1,1,18164617655697.4
"2",1,2,18147380048613.4
"3",1,3,18140598424104.9
"4",1,4,18137401343714.3
"5",1,5,18135602909022.7
"6",1,6,18135602909022.7
"7",1,7,18138753189098.2
"8",1,8,18138753189098.2
"9",1,9,18138753289449.1
"10",1,10,18138753289449.1
"11",2,1,18175864631967.2
"12",2,2,18162266565578.3
"13",2,3,18150354648990.8
"14",2,4,18138991927350.9
"15",2,5,18135227119307.2
"16",2,6,18135227074264.1
"17",2,7,18136972612630
"18",2,8,18137339947877.9
"19",2,9,18137339947877.9
"20",2,10,18137339925294.1
"21",3,1,18180585847239
"22",3,2,18176728309992
"23",3,3,18161550809142.8
"24",3,4,18150734115441.7
"25",3,5,18143364406330.9
"26",3,6,18138292924067.3
"27",3,7,18138292745835.4
"28",3,8,18134120984978.9
"29",3,9,18134365521954.2
"30",3,10,18134365429175.4
"31",4,1,18186527862017.1
"32",4,2,18182653435229
"33",4,3,18171351392469.3
"34",4,4,18161564453837.2
"35",4,5,18149063610118.2
"36",4,6,18148836180404.9
"37",4,7,18140349246869.6
"38",4,8,18140349187313
"39",4,9,18134576325511.5
"40",4,10,18134677060366.3
"41",5,1,18187349201605.5
"42",5,2,18187349201605.5
"43",5,3,18178029853736.2
"44",5,4,18166276964516.5
"45",5,5,18157718455300
"46",5,6,18152750257021.9
"47",5,7,18143400343675.2
"48",5,8,18143254178783.1
"49",5,9,18143254108972.5
"50",5,10,18137904600168.4
"51",6,1,18193060175011
"52",6,2,18193060175011
"53",6,3,18184476666944.8
"54",6,4,18174302023746.5
"55",6,5,18162650359647.7
"56",6,6,18158189222969.5
"57",6,7,18157787641583.2
"58",6,8,18147355842599
"59",6,9,18147072194553.3
"60",6,10,18147072194553.3
"61",7,1,18193060175011
"62",7,2,18193060175011
"63",7,3,18184476666944.8
"64",7,4,18181432105925.1
"65",7,5,18171696776341.9
"66",7,6,18168232596641.9
"67",7,7,18158014725491.5
"68",7,8,18152736221731.8
"69",7,9,18152338462761.3
"70",7,10,18152337872693.8
"71",8,1,18193060175011
"72",8,2,18193060175011
"73",8,3,18192527766888.5
"74",8,4,18182314052623.5
"75",8,5,18179895147763.5
"76",8,6,18168795756912.6
"77",8,7,18164982278087.4
"78",8,8,18164407467504.9
"79",8,9,18152736221731.8
"80",8,10,18152540092324.8
"81",9,1,18193060175011
"82",9,2,18193060175011
"83",9,3,18192527766888.5
"84",9,4,18190061880921.9
"85",9,5,18180784221373.9
"86",9,6,18178335014735.8
"87",9,7,18164982278087.4
"88",9,8,18164791314436.9
"89",9,9,18160176941802.5
"90",9,10,18159596965463.6
"91",10,1,18193060175011
"92",10,2,18193060175011
"93",10,3,18192527766888.5
"94",10,4,18191926915837.2
"95",10,5,18180784221373.9
"96",10,6,18179069182320.5
"97",10,7,18176214942635.8
"98",10,8,18164791314436.9
"99",10,9,18160176941802.5
"100",10,10,18160176857573
