"","c1","c2","Error"
"1",1,1,5228794.7226742
"2",1,2,5002644.15832595
"3",1,3,4729330.74401694
"4",1,4,4582502.35362152
"5",1,5,4476294.73814139
"6",1,6,4459665.51119374
"7",1,7,4379884.6145884
"8",1,8,4307691.11175076
"9",1,9,4309657.50589029
"10",1,10,4313800.41469556
"11",2,1,5829670.74163578
"12",2,2,5560043.19534043
"13",2,3,5237383.49439127
"14",2,4,4800846.82574544
"15",2,5,4689519.68649543
"16",2,6,4601241.35829978
"17",2,7,4404825.58232821
"18",2,8,4395661.85394561
"19",2,9,4334179.16785143
"20",2,10,4330185.07360642
"21",3,1,6953049.03260522
"22",3,2,6776444.71063897
"23",3,3,5421225.63405037
"24",3,4,5171282.58486742
"25",3,5,4989894.52522136
"26",3,6,4875826.9866658
"27",3,7,4530222.29620872
"28",3,8,4480223.31420701
"29",3,9,4391079.58546905
"30",3,10,4376806.38695726
"31",4,1,7282272.99817539
"32",4,2,7184415.2680939
"33",4,3,6541684.30652059
"34",4,4,5290731.61253222
"35",4,5,5095503.81955989
"36",4,6,4977834.87321493
"37",4,7,4832779.50915779
"38",4,8,4764677.46998841
"39",4,9,4625532.46510645
"40",4,10,4625532.46510645
"41",5,1,7573655.55505656
"42",5,2,7564789.03399821
"43",5,3,6846326.91332485
"44",5,4,6353219.18363329
"45",5,5,5294638.40011805
"46",5,6,5037255.97647312
"47",5,7,4895987.14738993
"48",5,8,4846659.91779167
"49",5,9,4686778.20195595
"50",5,10,4657771.30649717
"51",6,1,8026464.03848398
"52",6,2,8024261.57688482
"53",6,3,7344504.59384322
"54",6,4,6529544.30774818
"55",6,5,6225711.53170849
"56",6,6,6062335.45834901
"57",6,7,5885444.51186743
"58",6,8,4913263.5368503
"59",6,9,4759183.80979622
"60",6,10,4687931.62026428
"61",7,1,8311783.95104081
"62",7,2,8309581.48944165
"63",7,3,7654381.40983348
"64",7,4,6796403.42521019
"65",7,5,6412838.9364046
"66",7,6,6182918.47403586
"67",7,7,5988241.7327151
"68",7,8,5808014.6050311
"69",7,9,5762746.54962862
"70",7,10,4829341.3677282
"71",8,1,8360559.75030464
"72",8,2,8358357.28870548
"73",8,3,8164736.8082007
"74",8,4,7101844.58598685
"75",8,5,6586251.1936834
"76",8,6,6329423.86541828
"77",8,7,6090924.57710047
"78",8,8,5931056.81934681
"79",8,9,5867167.28045765
"80",8,10,5796994.45748863
"81",9,1,8376388.60273311
"82",9,2,8374872.47122941
"83",9,3,8216237.97141713
"84",9,4,7901156.8711674
"85",9,5,6887897.39868076
"86",9,6,6503865.30365801
"87",9,7,6203916.67014038
"88",9,8,6040817.68705241
"89",9,9,5867167.28045765
"90",9,10,5831348.20804216
"91",10,1,8376388.60273311
"92",10,2,8374872.47122941
"93",10,3,8216237.97141713
"94",10,4,7906309.23196357
"95",10,5,7222219.22750358
"96",10,6,6806044.0099294
"97",10,7,6369163.47924893
"98",10,8,6140692.25777799
"99",10,9,6016316.03513246
"100",10,10,5872646.53586204
