"","c1","c2","Error"
"1",1,1,6423741.70359115
"2",1,2,5681315.92737933
"3",1,3,5682469.14927376
"4",1,4,5486779.51577229
"5",1,5,5316619.03776379
"6",1,6,5168977.06448166
"7",1,7,5170111.78004759
"8",1,8,5170111.78004759
"9",1,9,5170111.78004759
"10",1,10,5170111.78004759
"11",2,1,6427936.31089719
"12",2,2,6064560.20937429
"13",2,3,6064916.09294909
"14",2,4,6033746.89543269
"15",2,5,5778966.27985153
"16",2,6,5719879.16330722
"17",2,7,5721013.87887314
"18",2,8,5721013.87887314
"19",2,9,5721013.87887314
"20",2,10,5721013.87887314
"21",3,1,6896437.03380603
"22",3,2,6528747.61397215
"23",3,3,6064916.09294909
"24",3,4,6033746.89543269
"25",3,5,5778966.27985153
"26",3,6,5719879.16330722
"27",3,7,5721013.87887314
"28",3,8,5721013.87887314
"29",3,9,5721013.87887314
"30",3,10,5721013.87887314
"31",4,1,8300108.2155261
"32",4,2,6528747.61397215
"33",4,3,6449503.01136826
"34",4,4,6418333.81385186
"35",4,5,6163553.1982707
"36",4,6,6163553.1982707
"37",4,7,6164687.91383663
"38",4,8,5721013.87887314
"39",4,9,5721013.87887314
"40",4,10,5721013.87887314
"41",5,1,8300108.2155261
"42",5,2,7914491.98409291
"43",5,3,7707292.64530435
"44",5,4,7676123.44778795
"45",5,5,7505962.96977944
"46",5,6,6163553.1982707
"47",5,7,6164687.91383663
"48",5,8,6164687.91383663
"49",5,9,5721013.87887314
"50",5,10,5721013.87887314
"51",6,1,8300108.2155261
"52",6,2,7926331.57247952
"53",6,3,7719132.23369096
"54",6,4,7687758.3080803
"55",6,5,7505962.96977944
"56",6,6,7505962.96977944
"57",6,7,6275330.41103163
"58",6,8,6275330.41103163
"59",6,9,6192284.5669685
"60",6,10,6192284.5669685
"61",7,1,8300108.2155261
"62",7,2,7926331.57247952
"63",7,3,7719132.23369096
"64",7,4,7687758.3080803
"65",7,5,7517597.83007179
"66",7,6,7505962.96977944
"67",7,7,7509770.03605787
"68",7,8,6275330.41103163
"69",7,9,6192284.5669685
"70",7,10,6192284.5669685
"71",8,1,8300108.2155261
"72",8,2,7926331.57247952
"73",8,3,7719132.23369096
"74",8,4,7687758.3080803
"75",8,5,7517597.83007179
"76",8,6,7517140.30525493
"77",8,7,7520947.37153336
"78",8,8,7520947.37153336
"79",8,9,7361771.2375342
"80",8,10,7361771.2375342
"81",9,1,8300108.2155261
"82",9,2,7926331.57247952
"83",9,3,7719132.23369096
"84",9,4,7687758.3080803
"85",9,5,7517597.83007179
"86",9,6,7517140.30525493
"87",9,7,7520947.37153336
"88",9,8,7520947.37153336
"89",9,9,7361771.2375342
"90",9,10,7361771.2375342
"91",10,1,8300108.2155261
"92",10,2,7926331.57247952
"93",10,3,7719132.23369096
"94",10,4,7687758.3080803
"95",10,5,7517597.83007179
"96",10,6,7517140.30525493
"97",10,7,7520947.37153336
"98",10,8,7520947.37153336
"99",10,9,7361771.2375342
"100",10,10,7361771.2375342
