"","variance.1","variance.2","variance.3","logposterior","","","","","",""
"unemp_LP_gamma",10,10,4,-476025.351590009,2,2,2,5,2.5,0.5
"unemp_LP_gamma",10,10,4,-476030.579001287,2,2,4,5,2.5,0.25
"unemp_LP_gamma",10,10,4,-476041.033823842,2,2,8,5,2.5,0.125
"unemp_LP_gamma",10,10,4,-476061.943468953,2,2,16,5,2.5,0.0625
"unemp_LP_gamma",10,10,4,-476103.762759176,2,2,32,5,2.5,0.03125
"unemp_LP_gamma",10,10,4,-476024.746419823,2,4,2,5,1.25,0.5
"unemp_LP_gamma",10,10,4,-476029.973831101,2,4,4,5,1.25,0.25
"unemp_LP_gamma",10,10,4,-476040.428653656,2,4,8,5,1.25,0.125
"unemp_LP_gamma",10,10,4,-476061.338298767,2,4,16,5,1.25,0.0625
"unemp_LP_gamma",10,10,4,-476103.15758899,2,4,32,5,1.25,0.03125
"unemp_LP_gamma",10,10,4,-476023.536079451,2,8,2,5,0.625,0.5
"unemp_LP_gamma",10,10,4,-476028.763490729,2,8,4,5,0.625,0.25
"unemp_LP_gamma",10,10,4,-476039.218313284,2,8,8,5,0.625,0.125
"unemp_LP_gamma",10,10,4,-476060.127958395,2,8,16,5,0.625,0.0625
"unemp_LP_gamma",10,10,4,-476101.947248618,2,8,32,5,0.625,0.03125
"unemp_LP_gamma",10,10,4,-476021.115398707,2,16,2,5,0.3125,0.5
"unemp_LP_gamma",10,10,4,-476026.342809985,2,16,4,5,0.3125,0.25
"unemp_LP_gamma",10,10,4,-476036.79763254,2,16,8,5,0.3125,0.125
"unemp_LP_gamma",10,10,4,-476057.707277652,2,16,16,5,0.3125,0.0625
"unemp_LP_gamma",10,10,4,-476099.526567874,2,16,32,5,0.3125,0.03125
"unemp_LP_gamma",10,10,4,-476016.274037219,2,32,2,5,0.15625,0.5
"unemp_LP_gamma",10,10,4,-476021.501448497,2,32,4,5,0.15625,0.25
"unemp_LP_gamma",10,10,4,-476031.956271053,2,32,8,5,0.15625,0.125
"unemp_LP_gamma",10,10,4,-476052.865916164,2,32,16,5,0.15625,0.0625
"unemp_LP_gamma",10,10,4,-476094.685206386,2,32,32,5,0.15625,0.03125
"unemp_LP_gamma",10,10,4,-476022.746419823,4,2,2,2.5,2.5,0.5
"unemp_LP_gamma",10,10,4,-476027.973831101,4,2,4,2.5,2.5,0.25
"unemp_LP_gamma",10,10,4,-476038.428653656,4,2,8,2.5,2.5,0.125
"unemp_LP_gamma",10,10,4,-476059.338298767,4,2,16,2.5,2.5,0.0625
"unemp_LP_gamma",10,10,4,-476101.15758899,4,2,32,2.5,2.5,0.03125
"unemp_LP_gamma",10,10,4,-476022.141249637,4,4,2,2.5,1.25,0.5
"unemp_LP_gamma",10,10,4,-476027.368660915,4,4,4,2.5,1.25,0.25
"unemp_LP_gamma",10,10,4,-476037.82348347,4,4,8,2.5,1.25,0.125
"unemp_LP_gamma",10,10,4,-476058.733128581,4,4,16,2.5,1.25,0.0625
"unemp_LP_gamma",10,10,4,-476100.552418804,4,4,32,2.5,1.25,0.03125
"unemp_LP_gamma",10,10,4,-476020.930909265,4,8,2,2.5,0.625,0.5
"unemp_LP_gamma",10,10,4,-476026.158320543,4,8,4,2.5,0.625,0.25
"unemp_LP_gamma",10,10,4,-476036.613143098,4,8,8,2.5,0.625,0.125
"unemp_LP_gamma",10,10,4,-476057.522788209,4,8,16,2.5,0.625,0.0625
"unemp_LP_gamma",10,10,4,-476099.342078432,4,8,32,2.5,0.625,0.03125
