date,sales
Q1 2019,6682.00 
Q4 2018,5959.00 
Q3 2018,6829.00 
Q2 2018,6274.00 
Q1 2018,6820.00 
Q4 2017,5726.00 
Q3 2017,6672.00 
Q2 2017,5541.00 
Q1 2017,6044.00 
Q4 2016,5050.00 
Q3 2016,6041.00 
Q2 2016,4995.00 
Q1 2016,5261.00 
Q4 2015,4636.00 
Q3 2015,5294.00 
Q2 2015,4321.00 
Q1 2015,4531.00 
Q4 2014,3985.00 
Q3 2014,5464.00 
Q2 2014,4631.00 
Q1 2014,4902.00 
Q4 2013,4781.00 
Q3 2013,5194.00 
Q2 2013,4502.00 
Q1 2013,4904.00 
Q4 2012,4333.00 
Q3 2012,5222.00 
Q2 2012,4326.00 
Q1 2012,5013.00 
Q4 2011,4297.00 
Q3 2011,5301.00 
Q2 2011,4360.00 
Q1 2011,4858.00 
Q4 2010,4049.00 
Q3 2010,4868.00 
Q2 2010,3722.00 
Q1 2010,3534.00 
Q4 2009,3523.00 
Q3 2009,4127.00 
Q2 2009,3346.00 
Q1 2009,3430.00 
Q4 2008,3395.00 
Q3 2008,4646.00 
Q2 2008,3940.00 
Q1 2008,3925.00 
Q4 2007,3505.00 
Q3 2007,4041.00 
Q2 2007,3235.00 
Q1 2007,3325.00 
Q4 2006,2900.00 
Q3 2006,3763.00 
Q2 2006,3050.00 
Q1 2006,2958.00 
Q4 2005,1810.00 
Q3 2005,2347.00 
Q2 2005,1912.00 
Q1 2005,2333.00 
