date,sale
Q4 2019,10184.00 
Q3 2019,9611.00 
Q2 2018,9374.00 
Q1 2018,9948.00 
Q4 2018,9789.00 
Q3 2018,8984.00 
Q2 2017,8554.00 
Q1 2017,9070.00 
Q4 2017,8677.00 
Q3 2017,8432.00 
Q2 2016,8180.00 
Q1 2016,9061.00 
Q4 2016,8244.00 
Q3 2016,8032.00 
Q2 2015,7686.00 
Q1 2015,8414.00 
Q4 2015,7779.00 
Q3 2015,7460.00 
Q2 2014,7380.00 
Q1 2014,7982.00 
Q4 2014,7425.00 
Q3 2014,6972.00 
Q2 2013,6431.00 
Q1 2013,6971.00 
Q4 2013,6697.00 
Q3 2013,6187.00 
Q2 2012,5955.00 
Q1 2012,6474.00 
Q4 2012,6048.00 
Q3 2012,5656.00 
Q2 2011,5546.00 
Q1 2011,6081.00 
Q4 2011,5021.00 
Q3 2011,5079.00 
Q2 2010,4842.00 
Q1 2010,5175.00 
Q4 2010,5077.00 
Q3 2010,4733.00 
Q2 2009,4405.00 
Q1 2009,4799.00 
Q4 2009,4713.00 
Q3 2009,4441.00 
Q2 2008,4590.00 
Q1 2008,5432.00 
Q4 2008,5088.00 
Q3 2008,4544.00 
Q2 2007,4340.00 
Q1 2007,4655.00 
Q4 2007,4383.00 
Q3 2007,3927.00 
Q2 2006,3822.00 
Q1 2006,4194.00 
Q4 2006,4005.00 
Q3 2006,3613.00 
Q2 2005,3475.00 
Q1 2005,3862.00 
Q4 2005,3721.00 
Q3 2005,3308.00 
