"","x"
"1",2719.10700952456
"2",2736.0570460917
"3",2739.1620624903
"4",2827.47669747819
"5",2990.77791193624
"6",3060.93218043878
"7",3131.72306544614
"8",3162.38685104139
"9",3164.78026811992
"10",3146.51884153081
"11",3115.79087013989
"12",3117.89016902363
"13",3169.48529447998
"14",3183.1511974635
"15",3187.68849211026
"16",3294.82558123139
"17",3477.27816861042
"18",3559.07165083148
"19",3637.29306699524
"20",3660.20037590757
"21",3658.89969634667
"22",3641.66056161718
"23",3613.54730530595
"24",3608.31178315606
"25",3664.03321104034
"26",3680.29376049278
"27",3689.1400333364
"28",3816.92815081907
"29",4024.45554276108
"30",4115.33234529433
"31",4197.21756155349
"32",4208.03589150145
"33",4202.91021374887
"34",4180.53802802837
"35",4147.31792511851
"36",4137.29993839145
"37",4192.67715499203
"38",4209.15899808451
"39",4219.71951305265
"40",4356.13448387745
"41",4574.11450665605
"42",4668.69809627415
"43",4750.05981457365
"44",4752.36636534404
"45",4737.01276956918
"46",4702.40256768198
"47",4676.38178306696
"48",4664.38040050149
"49",4717.75985699222
"50",4735.85610341251
"51",4741.98651888017
"52",4883.40513911216
"53",5102.9292346704
"54",5197.61468803685
"55",5275.03165627289
"56",5268.4720042025
"57",5245.68833114848
"58",5208.99103664295
"59",5197.54846955807
"60",5184.77479745162
"61",5235.13026048606
"62",5256.94651026369
"63",5258.38456551675
"64",5405.2181349078
"65",5621.74747771697
"66",5701.91502555801
"67",5768.56492937142
"68",5750.85318283741
"69",5731.59473288242
"70",5693.53386905869
"71",5683.56238572156
"72",5655.2652979703
"73",5702.28808944233
"74",5728.56860922686
"75",5725.0693319621
"76",5870.55414844009
"77",6081.43328957335
"78",6148.59056094893
"79",6201.53274662694
"80",6169.51287106941
"81",6155.57972993376
"82",6108.965542655
"83",6096.12113085501
"84",6055.88300397716
"85",6104.63718292407
"86",6122.08930877218
"87",6096.4327936342
"88",6231.89871016456
"89",6435.32381448015
"90",6495.6758755826
"91",6543.14724738854
"92",6506.53271638192
"93",6493.85754257494
"94",6436.08939011749
"95",6423.02064245723
"96",6373.58306430034
"97",6418.41094881063
"98",6422.80934976612
"99",6376.72837337409
"100",6496.42613114385
"101",6683.47460359872
"102",6733.05959524739
"103",6776.69914846079
"104",6740.83515246005
"105",6728.76359043833
"106",6652.50449649383
"107",6625.60729079071
"108",6560.35144417524
"109",6592.92543472355
"110",6582.32991742791
"111",6516.11798844127
"112",6616.69521899892
"113",6782.08520941118
"114",6822.49909102901
"115",6860.1497023116
"116",6817.78756851429
"117",6798.71832380002
"118",6706.67121957779
"119",6666.48377188134
"120",6597.35984865059
"121",6621.3208173744
"122",6594.46414953311
"123",6507.95064666223
"124",6592.67704778671
"125",6740.95617218828
"126",6775.07161357872
"127",6800.88750549298
"128",6750.61776988754
"129",6727.20196025947
"130",6624.12168861158
"131",6565.0846246271
"132",6487.24763795846
"133",6506.24277791879
"134",6471.75559552001
"135",6373.42178376296
"136",6457.27527756799
"137",6610.17540839707
"138",6651.07196064719
"139",6668.12757550441
"140",6608.45387603801
"141",6574.29140455314
"142",6456.22704278279
"143",6372.43779860215
"144",6277.16451150019
"145",6285.93388895876
"146",6250.30085271426
"147",6162.41666059045
"148",6255.19183962383
"149",6413.40965901244
"150",6463.52143262521
"151",6477.64837395723
"152",6421.38863107887
"153",6379.22996838983
"154",6243.25387980292
"155",6133.6295645238
"156",6019.58095659584
"157",6017.66513090572
"158",5975.41611834482
"159",5885.13450536706
"160",5975.61502736106
"161",6137.94963700453
"162",6194.88377785232
"163",6208.89334435963
"164",6156.11875280648
"165",6107.71810782505
"166",5959.36834181349
"167",5835.07085685628
"168",5715.09916324356
"169",5717.88279452786
"170",5680.65567524121
"171",5588.69213307381
"172",5685.84282222148
"173",5863.98879589917
"174",5923.37792000914
"175",5940.8629240142
"176",5889.03567681838
"177",5834.06387974347
"178",5675.16389846215
"179",5538.11866000316
"180",5414.9020216309
